operon_seral_number	operon_start_site	operon_end_site	operon_direction	AS_transcript_start	AS_transcript_end	AS_transcript_direction	number_of_cluster_tss_of_AS	AS_3end_information	AS_length
operon_807	1417412	1419782	-	1418698	1419070	+	1	end_in_gene	373
operon_807	1417412	1419782	-	1419619	1419996	+	1	end_as_asRNA_for_next_operon	378
operon_808	1419867	1422405	-	1420039	1420481	+	1	end_in_gene	443
operon_809	1422415	1424056	-	1423904	1424056	+	2	end_coding_next_gene	153
operon_813	1431664	1433537	-	1426240	1426757	+	1	end_in_gene	518
operon_813	1431664	1433537	-	1427498	1427956	+	1	end_in_gene	459
operon_813	1431664	1433537	-	1430386	1430753	+	1	end_in_gene	368
operon_812	1426240	1431661	+	1430637	1430906	-	1	end_in_gene	270
operon_813	1431664	1433537	-	1432745	1432843	+	1	end_in_gene	99
operon_814	1433547	1437143	-	1434214	1434583	+	1	end_in_gene	370
operon_814	1433547	1437143	-	1435073	1435357	+	1	end_in_gene	285
operon_814	1433547	1437143	-	1436556	1436708	+	1	end_in_gene	153
operon_816	1437920	1440517	+	1439619	1440081	-	1	end_in_gene	463
operon_817	1440527	1442769	+	1441174	1441493	-	1	end_in_gene	320
operon_819	1443415	1445053	-	1442779	1443382	+	1	end_in_gene	604
operon_819	1443415	1445053	-	1444396	1444667	+	1	end_in_gene	272
operon_821	1445388	1446298	-	1445409	1445854	+	1	end_in_gene	446
operon_821	1445388	1446298	-	1445951	1446090	+	1	end_in_gene	140
operon_828	1459713	1468167	+	1459761	1460069	-	1	end_in_gene	309
operon_829	1468147	1469905	-	1460213	1460597	+	1	end_in_gene	385
operon_829	1468147	1469905	-	1461019	1461622	+	2	end_in_gene	604
operon_829	1468147	1469905	-	1461663	1462200	+	1	end_in_gene	538
operon_828	1459713	1468167	+	1466694	1467025	-	1	end_in_gene	332
operon_829	1468147	1469905	-	1468141	1468606	+	1	end_in_gene	466
operon_835	1479134	1480838	-	1480362	1480745	+	1	end_in_gene	384
operon_836	1480848	1484228	-	1480857	1481405	+	1	end_in_gene	549
operon_836	1480848	1484228	-	1482764	1483025	+	1	end_in_gene	262
operon_836	1480848	1484228	-	1483755	1483859	+	2	end_in_gene	105
operon_836	1480848	1484228	-	1483920	1484952	+	2	end_as_asRNA_for_next_operon	1033
operon_837	1484250	1484978	+	1484250	1484391	-	1	end_coding_next_gene	142
operon_839	1485294	1485776	-	1484988	1485426	+	1	end_in_gene	439
operon_839	1485294	1485776	-	1485663	1485776	+	1	end_coding_next_gene	114
operon_840	1485797	1487156	+	1486571	1486923	-	1	end_in_gene	353
operon_842	1488095	1490417	-	1490050	1490273	+	1	end_in_gene	224
operon_843	1490427	1494482	-	1491069	1491357	+	1	end_in_gene	289
operon_846	1500667	1504876	+	1502921	1503399	-	1	end_in_gene	479
operon_849	1508203	1508929	-	1505974	1506451	+	1	end_in_gene	478
operon_849	1508203	1508929	-	1506596	1507242	+	2	end_in_gene	647
operon_849	1508203	1508929	-	1507427	1507791	+	1	end_in_gene	365
operon_851	1509193	1511969	+	1509378	1509749	-	1	end_in_gene	372
operon_852	1512022	1512611	-	1510502	1511104	+	1	end_in_gene	603
operon_853	1512870	1517487	+	1514777	1515252	-	2	end_in_gene	476
operon_853	1512870	1517487	+	1517099	1517479	-	1	end_in_gene	381
operon_857	1519150	1526222	-	1520821	1521238	+	1	end_in_gene	418
operon_857	1519150	1526222	-	1521424	1521819	+	1	end_in_gene	396
operon_857	1519150	1526222	-	1521843	1522012	+	1	end_in_gene	170
operon_857	1519150	1526222	-	1522481	1522898	+	1	end_in_gene	418
operon_857	1519150	1526222	-	1523843	1524146	+	1	end_in_gene	304
operon_857	1519150	1526222	-	1524216	1524401	+	1	end_in_gene	186
operon_857	1519150	1526222	-	1524620	1525142	+	1	end_in_gene	523
operon_857	1519150	1526222	-	1525416	1526059	+	1	end_in_gene	644
operon_858	1525642	1531344	+	1528812	1528869	-	1	end_in_gene	58
operon_858	1525642	1531344	+	1530330	1530767	-	1	end_in_gene	438
operon_858	1525642	1531344	+	1530905	1531331	-	1	end_in_gene	427
operon_860	1532386	1533670	-	1531354	1531920	+	1	end_in_gene	567
operon_859	1531354	1532439	+	1531600	1531925	-	1	end_in_gene	326
operon_861	1533680	1535560	-	1535432	1536126	+	2	end_as_asRNA_for_next_operon	695
operon_862	1535570	1537719	-	1535565	1535980	+	2	end_in_gene	416
operon_862	1535570	1537719	-	1537098	1537444	+	2	end_in_gene	347
operon_868	1541821	1543261	-	1541676	1541880	+	1	end_in_gene	205
operon_868	1541821	1543261	-	1542323	1542668	+	1	end_in_gene	346
operon_870	1545737	1547068	+	1546706	1547024	-	1	end_in_gene	319
operon_871	1547008	1547536	-	1547134	1547498	+	1	end_in_gene	365
operon_873	1548430	1550575	+	1548466	1548776	-	1	end_in_gene	311
operon_874	1550657	1551224	-	1549180	1549805	+	2	end_in_gene	626
operon_875	1551234	1552747	-	1551301	1551566	+	1	end_in_gene	266
operon_876	1552602	1561381	+	1552602	1552747	-	1	end_coding_next_gene	146
operon_876	1552602	1561381	+	1557455	1557658	-	1	end_in_gene	204
operon_876	1552602	1561381	+	1561127	1561389	-	1	end_in_gene	263
operon_877	1561391	1563880	+	1561404	1561631	-	1	end_in_gene	228
operon_880	1568055	1570977	-	1566518	1567264	+	2	end_in_gene	747
operon_880	1568055	1570977	-	1568176	1568615	+	1	end_in_gene	440
operon_880	1568055	1570977	-	1569178	1569668	+	1	end_in_gene	491
operon_882	1572097	1574773	-	1572523	1572745	+	1	end_in_gene	223
operon_883	1574783	1576802	-	1574793	1575122	+	1	end_in_gene	330
operon_884	1576753	1579594	+	1576753	1576802	-	1	end_coding_next_gene	50
operon_884	1576753	1579594	+	1576935	1577274	-	1	end_in_gene	340
operon_885	1579596	1580428	-	1579938	1580300	+	1	end_in_gene	363
operon_885	1579596	1580428	-	1580319	1580428	+	1	end_coding_next_gene	110
operon_888	1582171	1584504	+	1582407	1582780	-	1	end_in_gene	374
operon_889	1584514	1586206	+	1584092	1584546	-	1	end_as_asRNA_for_next_operon	455
operon_890	1586229	1588488	-	1584514	1584984	+	1	end_in_gene	471
operon_890	1586229	1588488	-	1587237	1587676	+	1	end_in_gene	440
operon_890	1586229	1588488	-	1587696	1588040	+	1	end_in_gene	345
operon_892	1589153	1590345	+	1589070	1589453	-	1	end_as_asRNA_for_next_operon	384
operon_896	1593508	1597771	+	1593683	1594031	-	1	end_in_gene	349
operon_896	1593508	1597771	+	1596644	1597167	-	1	end_in_gene	524
operon_896	1593508	1597771	+	1597352	1597655	-	1	end_in_gene	304
operon_900	1601053	1604809	-	1599664	1600121	+	1	end_in_gene	458
operon_900	1601053	1604809	-	1603955	1604323	+	1	end_in_gene	369
operon_902	1606369	1608046	+	1607887	1608043	-	2	end_in_gene	157
operon_903	1608056	1611399	+	1610813	1611081	-	1	end_in_gene	269
operon_906	1613262	1616576	+	1613345	1613739	-	1	end_in_gene	395
operon_907	1616365	1617392	-	1615514	1615694	+	1	end_in_gene	181
operon_906	1613262	1616576	+	1616472	1616859	-	2	end_in_gene	388
operon_907	1616365	1617392	-	1616783	1617113	+	1	end_in_gene	331
operon_909	1618086	1619690	-	1617843	1618208	+	1	end_in_gene	366
operon_909	1618086	1619690	-	1619685	1619690	+	1	end_coding_next_gene	6
operon_911	1622107	1622677	-	1619797	1620242	+	1	end_in_gene	446
operon_911	1622107	1622677	-	1621163	1621464	+	1	end_in_gene	302
operon_912	1623100	1623696	-	1623499	1623706	+	1	end_as_asRNA_for_next_operon	208
operon_913	1623706	1628905	-	1624515	1624740	+	1	end_in_gene	226
operon_913	1623706	1628905	-	1628334	1628386	+	1	end_in_gene	53
operon_913	1623706	1628905	-	1628628	1629072	+	1	end_as_asRNA_for_next_operon	445
operon_915	1630247	1634633	-	1630472	1630787	+	1	end_in_gene	316
operon_916	1634993	1636000	+	1635198	1635547	-	1	end_in_gene	350
operon_917	1635971	1638235	-	1638230	1638235	+	1	end_coding_next_gene	6
operon_918	1638230	1639670	+	1638436	1638818	-	1	end_in_gene	383
operon_918	1638230	1639670	+	1638982	1639670	-	1	end_in_gene	689
operon_919	1639662	1640670	-	1639689	1640563	+	1	end_in_gene	875
operon_921	1641559	1642413	-	1640686	1641143	+	1	end_in_gene	458
operon_922	1642423	1644376	-	1643691	1643991	+	1	end_in_gene	301
operon_923	1644386	1646144	-	1645027	1645381	+	1	end_in_gene	355
operon_925	1653594	1655542	-	1646264	1646623	+	1	end_in_gene	360
operon_925	1653594	1655542	-	1648024	1648586	+	1	end_in_gene	563
operon_927	1656930	1658943	+	1658288	1658661	-	1	end_in_gene	374
operon_930	1659817	1660473	+	1659733	1660092	-	1	end_as_asRNA_for_next_operon	360
operon_934	1666926	1669210	+	1667583	1667996	-	1	end_in_gene	414
operon_936	1672400	1673305	-	1669958	1670512	+	1	end_in_gene	555
operon_935	1669220	1672453	+	1671038	1671313	-	1	end_in_gene	276
operon_936	1672400	1673305	-	1671330	1672106	+	1	end_in_gene	777
operon_938	1676067	1676892	-	1673446	1674193	+	1	end_in_gene	748
operon_938	1676067	1676892	-	1674603	1675013	+	1	end_in_gene	411
operon_942	1680809	1681974	-	1678558	1679031	+	1	end_in_gene	474
operon_941	1678558	1681124	+	1680070	1680470	-	1	end_in_gene	401
operon_942	1680809	1681974	-	1680270	1681149	+	1	end_in_gene	880
operon_941	1678558	1681124	+	1680756	1681125	-	1	end_in_gene	370
operon_943	1681863	1686305	+	1681863	1681974	-	1	end_coding_next_gene	112
operon_946	1689246	1690395	-	1687947	1688398	+	1	end_in_gene	452
operon_948	1690820	1692642	+	1690393	1690861	-	1	end_as_asRNA_for_next_operon	469
operon_947	1690413	1690810	+	1690413	1690817	-	1	end_coding_next_gene	405
operon_948	1690820	1692642	+	1692109	1692187	-	1	end_in_gene	79
operon_950	1694894	1697428	-	1693731	1694008	+	1	end_in_gene	278
operon_949	1692652	1693987	+	1694064	1694341	-	1	end_in_gene	278
operon_950	1694894	1697428	-	1694811	1695281	+	1	end_in_gene	471
operon_950	1694894	1697428	-	1695430	1695723	+	2	end_in_gene	294
operon_950	1694894	1697428	-	1696846	1697243	+	2	end_in_gene	398
operon_951	1697362	1697985	+	1697416	1697816	-	1	end_in_gene	401
operon_951	1697362	1697985	+	1697926	1698047	-	2	end_in_gene	122
operon_952	1697875	1699900	-	1698050	1698746	+	2	end_in_gene	697
operon_952	1697875	1699900	-	1699308	1699405	+	1	end_in_gene	98
operon_953	1699814	1700334	+	1699814	1699822	-	1	end_coding_next_gene	9
operon_954	1700344	1703017	+	1702525	1702939	-	2	end_in_gene	415
operon_957	1705805	1708659	-	1707426	1707784	+	1	end_in_gene	359
operon_958	1708877	1709535	+	1709222	1709398	-	1	end_in_gene	177
operon_959	1709545	1710701	+	1710211	1710690	-	1	end_in_gene	480
operon_960	1710711	1712185	+	1710843	1711161	-	1	end_in_gene	319
operon_962	1714069	1717618	-	1712314	1712839	+	1	end_in_gene	526
operon_961	1712314	1714168	+	1712632	1712965	-	1	end_in_gene	334
operon_961	1712314	1714168	+	1713155	1713736	-	1	end_in_gene	582
operon_962	1714069	1717618	-	1714961	1715347	+	1	end_in_gene	387
operon_964	1720818	1729276	-	1717917	1718546	+	1	end_in_gene	630
operon_964	1720818	1729276	-	1720038	1720568	+	1	end_in_gene	531
operon_964	1720818	1729276	-	1721148	1721573	+	1	end_in_gene	426
operon_964	1720818	1729276	-	1722299	1722718	+	1	end_in_gene	420
operon_964	1720818	1729276	-	1725061	1725562	+	2	end_in_gene	502
operon_964	1720818	1729276	-	1726053	1726557	+	1	end_in_gene	505
operon_969	1733055	1733560	-	1732926	1733529	+	1	end_in_gene	604
operon_970	1733616	1735504	+	1734804	1735090	-	1	end_in_gene	287
operon_972	1736296	1741208	+	1737927	1738223	-	1	end_in_gene	297
operon_973	1741263	1742167	-	1738645	1739075	+	2	end_in_gene	431
operon_973	1741263	1742167	-	1739847	1740180	+	1	end_in_gene	334
operon_975	1743787	1744842	-	1742250	1742772	+	1	end_in_gene	523
operon_974	1742250	1743774	+	1742928	1743278	-	1	end_in_gene	351
operon_976	1745024	1747191	+	1745538	1745820	-	1	end_in_gene	283
operon_976	1745024	1747191	+	1745832	1746200	-	1	end_in_gene	369
operon_978	1747696	1751293	+	1747505	1747745	-	1	end_as_asRNA_for_next_operon	241
operon_978	1747696	1751293	+	1749551	1749892	-	1	end_in_gene	342
operon_979	1751264	1753723	-	1750568	1751203	+	1	end_in_gene	636
operon_980	1753571	1757396	+	1753571	1753723	-	1	end_coding_next_gene	153
operon_980	1753571	1757396	+	1753792	1753949	-	1	end_in_gene	158
operon_985	1763434	1764766	+	1763299	1763622	-	1	end_as_asRNA_for_next_operon	324
operon_987	1765399	1773840	-	1764776	1765214	+	1	end_in_gene	439
operon_987	1765399	1773840	-	1765330	1765481	+	1	end_in_gene	152
operon_987	1765399	1773840	-	1766479	1766780	+	1	end_in_gene	302
operon_987	1765399	1773840	-	1771049	1771439	+	1	end_in_gene	391
operon_987	1765399	1773840	-	1773191	1774123	+	1	end_as_asRNA_for_next_operon	933
operon_989	1774738	1775316	-	1775064	1775316	+	2	end_coding_next_gene	253
operon_991	1779064	1779304	-	1775398	1775719	+	1	end_in_gene	322
operon_991	1779064	1779304	-	1775993	1776290	+	1	end_in_gene	298
operon_993	1780670	1782736	-	1779929	1780204	+	1	end_in_gene	276
operon_992	1779320	1780640	+	1780584	1780636	-	1	end_in_gene	53
operon_994	1782746	1788497	-	1783654	1784089	+	1	end_in_gene	436
operon_994	1782746	1788497	-	1785790	1786086	+	1	end_in_gene	297
operon_994	1782746	1788497	-	1786231	1786598	+	1	end_in_gene	368
operon_994	1782746	1788497	-	1787856	1788113	+	1	end_in_gene	258
operon_995	1788507	1789843	-	1788513	1788861	+	1	end_in_gene	349
operon_997	1792252	1793899	-	1791825	1792071	+	1	end_in_gene	247
operon_997	1792252	1793899	-	1793619	1794122	+	2	end_as_asRNA_for_next_operon	504
operon_999	1794714	1799070	+	1794847	1795169	-	1	end_in_gene	323
operon_999	1794714	1799070	+	1796812	1797152	-	1	end_in_gene	341
operon_1000	1799069	1799516	-	1798070	1798122	+	1	end_in_gene	53
operon_1000	1799069	1799516	-	1798301	1798722	+	1	end_in_gene	422
operon_1001	1799571	1805920	+	1799792	1800102	-	1	end_in_gene	311
operon_1001	1799571	1805920	+	1802113	1802561	-	1	end_in_gene	449
operon_1001	1799571	1805920	+	1803082	1803284	-	1	end_in_gene	203
operon_1001	1799571	1805920	+	1803871	1804410	-	1	end_in_gene	540
operon_1003	1807280	1807771	-	1807761	1807771	+	1	end_coding_next_gene	11
operon_1006	1810192	1815222	+	1814422	1814755	-	1	end_in_gene	334
operon_1009	1820046	1825935	-	1816196	1816673	+	1	end_in_gene	478
operon_1009	1820046	1825935	-	1818536	1818925	+	2	end_in_gene	390
operon_1009	1820046	1825935	-	1824357	1824871	+	1	end_in_gene	515
operon_1010	1825945	1826576	-	1825962	1826093	+	1	end_in_gene	132
operon_1011	1826586	1827954	-	1827019	1827305	+	1	end_in_gene	287
operon_1014	1828811	1830568	-	1828187	1828756	+	1	end_in_gene	570
operon_1014	1828811	1830568	-	1830005	1830285	+	1	end_in_gene	281
operon_1015	1830672	1833490	+	1830672	1830910	-	1	end_coding_next_gene	239
operon_1015	1830672	1833490	+	1831366	1831728	-	1	end_in_gene	363
operon_1016	1833500	1836384	+	1833213	1833539	-	1	end_as_asRNA_for_next_operon	327
operon_1017	1836253	1836905	-	1834279	1834929	+	1	end_in_gene	651
operon_1016	1833500	1836384	+	1835723	1836098	-	2	end_in_gene	376
operon_1018	1837018	1840569	+	1837086	1837413	-	1	end_in_gene	328
operon_1019	1840600	1842316	-	1839529	1839868	+	1	end_in_gene	340
operon_1019	1840600	1842316	-	1840757	1840902	+	1	end_in_gene	146
operon_1019	1840600	1842316	-	1841367	1841985	+	1	end_in_gene	619
operon_1023	1846676	1848447	-	1844262	1844678	+	1	end_in_gene	417
operon_1024	1848457	1852042	-	1849251	1849678	+	2	end_in_gene	428
operon_1024	1848457	1852042	-	1849882	1849934	+	1	end_in_gene	53
operon_1024	1848457	1852042	-	1850088	1850514	+	1	end_in_gene	427
operon_1024	1848457	1852042	-	1851998	1852042	+	1	end_coding_next_gene	45
operon_1026	1854405	1855471	-	1853867	1854310	+	1	end_in_gene	444
operon_1028	1856353	1857529	+	1857051	1857396	-	1	end_in_gene	346
operon_1029	1857539	1858590	+	1858010	1858292	-	1	end_in_gene	283
operon_1030	1858600	1862344	+	1858844	1859770	-	1	end_in_gene	927
operon_1031	1862270	1865389	-	1859229	1859470	+	1	end_in_gene	242
operon_1031	1862270	1865389	-	1859784	1860089	+	1	end_in_gene	306
operon_1030	1858600	1862344	+	1861994	1862168	-	1	end_in_gene	175
operon_1031	1862270	1865389	-	1862441	1862747	+	1	end_in_gene	307
operon_1032	1865598	1871291	+	1870102	1870518	-	1	end_in_gene	417
operon_1034	1874112	1886273	+	1874922	1875236	-	1	end_in_gene	315
operon_1036	1887564	1891189	+	1887720	1888012	-	1	end_in_gene	293
operon_1038	1892304	1895354	-	1892933	1893248	+	1	end_in_gene	316
operon_1041	1896884	1898240	-	1896874	1897242	+	1	end_in_gene	369
operon_1043	1901183	1906316	+	1901488	1901779	-	1	end_in_gene	292
operon_1043	1901183	1906316	+	1904854	1905086	-	1	end_in_gene	233
operon_1044	1906326	1907576	+	1905859	1906545	-	2	end_as_asRNA_for_next_operon	687
operon_1043	1901183	1906316	+	1905889	1906304	-	1	end_in_gene	416
operon_1053	1918487	1921539	+	1921192	1921483	-	1	end_in_gene	292
operon_1054	1921549	1923745	+	1922356	1922745	-	2	end_in_gene	390
operon_1055	1923755	1927208	+	1925160	1925635	-	2	end_in_gene	476
operon_1056	1927154	1929889	-	1925362	1926046	+	1	end_in_gene	685
operon_1056	1927154	1929889	-	1927094	1927978	+	1	end_in_gene	885
operon_1056	1927154	1929889	-	1928081	1928436	+	1	end_in_gene	356
operon_1056	1927154	1929889	-	1929340	1929607	+	1	end_in_gene	268
operon_1057	1929899	1931526	-	1930307	1930620	+	1	end_in_gene	314
operon_1057	1929899	1931526	-	1931464	1932157	+	1	end_as_asRNA_for_next_operon	694
operon_1058	1931536	1933139	-	1931702	1932148	+	1	end_in_gene	447
operon_1059	1933149	1933980	-	1933164	1933495	+	1	end_in_gene	332
operon_1059	1933149	1933980	-	1933542	1933799	+	1	end_in_gene	258
operon_1060	1933990	1934656	-	1934055	1934610	+	1	end_in_gene	556
operon_1063	1937189	1938065	+	1937725	1938036	-	1	end_in_gene	312
operon_1064	1938075	1939824	+	1939389	1939578	-	1	end_in_gene	190
operon_1065	1939834	1945359	+	1942761	1943065	-	1	end_in_gene	305
operon_1067	1946703	1947651	-	1947232	1947696	+	1	end_as_asRNA_for_next_operon	465
operon_1069	1950606	1951759	-	1948513	1948825	+	1	end_in_gene	313
operon_1069	1950606	1951759	-	1951282	1951384	+	1	end_in_gene	103
operon_1070	1951859	1953861	+	1952682	1953134	-	1	end_in_gene	453
operon_1072	1955013	1955576	-	1955163	1955540	+	1	end_in_gene	378
operon_1073	1955586	1957366	-	1956775	1957097	+	1	end_in_gene	323
operon_1074	1956775	1959240	+	1956906	1957366	-	1	end_in_gene	461
operon_1075	1959250	1959799	-	1958679	1959046	+	1	end_in_gene	368
operon_1074	1956775	1959240	+	1958907	1959172	-	1	end_in_gene	266
operon_1077	1960681	1965434	-	1960674	1961167	+	1	end_in_gene	494
operon_1077	1960681	1965434	-	1962196	1962491	+	1	end_in_gene	296
operon_1077	1960681	1965434	-	1964830	1965270	+	1	end_in_gene	441
operon_1082	1970721	1972428	-	1970398	1970798	+	1	end_in_gene	401
operon_1081	1968973	1970986	+	1970663	1970958	-	1	end_in_gene	296
operon_1082	1970721	1972428	-	1970903	1971205	+	1	end_in_gene	303
operon_1082	1970721	1972428	-	1971533	1972060	+	1	end_in_gene	528
operon_1083	1972145	1973632	+	1972145	1972428	-	1	end_coding_next_gene	284
operon_1083	1972145	1973632	+	1973142	1973494	-	1	end_in_gene	353
operon_1084	1973642	1976468	+	1975086	1975708	-	2	end_in_gene	623
operon_1085	1976667	1977325	+	1976645	1976987	-	1	end_as_asRNA_for_next_operon	343
operon_1086	1977348	1977882	-	1976667	1977131	+	1	end_in_gene	465
operon_1089	1981596	1985033	-	1979771	1980277	+	1	end_in_gene	507
operon_1089	1981596	1985033	-	1982431	1982584	+	1	end_in_gene	154
operon_1089	1981596	1985033	-	1982635	1983483	+	2	end_in_gene	849
operon_1089	1981596	1985033	-	1984512	1984656	+	1	end_in_gene	145
operon_1090	1985043	1989013	-	1985055	1985697	+	1	end_in_gene	643
operon_1090	1985043	1989013	-	1987029	1987853	+	1	end_in_gene	825
operon_1090	1985043	1989013	-	1988075	1988462	+	1	end_in_gene	388
operon_1094	1994678	1995876	-	1993218	1993735	+	1	end_in_gene	518
operon_1093	1993218	1994668	+	1994019	1994454	-	1	end_in_gene	436
operon_1094	1994678	1995876	-	1994404	1994842	+	1	end_in_gene	439
operon_1096	1997430	1998524	-	1996159	1996612	+	1	end_in_gene	454
operon_1096	1997430	1998524	-	1996708	1996802	+	1	end_in_gene	95
operon_1095	1996159	1997415	+	1996776	1997097	-	1	end_in_gene	322
operon_1096	1997430	1998524	-	1997401	1997777	+	1	end_in_gene	377
operon_1097	1998976	1999776	-	1998942	1999513	+	1	end_in_gene	572
operon_1106	2010007	2010562	-	2009658	2010276	+	1	end_in_gene	619
operon_1107	2010663	2012078	+	2011885	2012078	-	1	end_in_gene	194
operon_1108	2011977	2012653	-	2011973	2012329	+	1	end_in_gene	357
operon_1108	2011977	2012653	-	2012646	2013273	+	1	end_as_asRNA_for_next_operon	628
operon_1109	2012663	2014510	-	2012671	2013118	+	2	end_in_gene	448
operon_1110	2014703	2015299	+	2014850	2015242	-	1	end_in_gene	393
operon_1111	2015279	2017483	-	2015473	2015777	+	1	end_in_gene	305
operon_1111	2015279	2017483	-	2015851	2016208	+	2	end_in_gene	358
operon_1111	2015279	2017483	-	2016296	2016596	+	1	end_in_gene	301
operon_1112	2017608	2023444	+	2018928	2019311	-	1	end_in_gene	384
operon_1113	2023449	2024699	-	2019065	2019713	+	1	end_in_gene	649
operon_1112	2017608	2023444	+	2021234	2021449	-	1	end_in_gene	216
operon_1114	2024077	2026744	+	2024077	2024699	-	1	end_coding_next_gene	623
operon_1114	2024077	2026744	+	2025981	2026252	-	1	end_in_gene	272
operon_1114	2024077	2026744	+	2026324	2026712	-	1	end_in_gene	389
operon_1115	2026754	2028321	+	2027989	2028222	-	1	end_in_gene	234
operon_1117	2029778	2030674	+	2030495	2030673	-	1	end_in_gene	179
operon_1118	2030684	2034616	+	2030738	2031076	-	1	end_in_gene	339
operon_1118	2030684	2034616	+	2033293	2033836	-	2	end_in_gene	544
operon_1120	2039121	2041737	+	2039630	2039880	-	1	end_in_gene	251
operon_1120	2039121	2041737	+	2040102	2040561	-	2	end_in_gene	460
operon_1122	2044784	2046909	-	2042031	2042428	+	2	end_in_gene	398
operon_1122	2044784	2046909	-	2044170	2044404	+	1	end_in_gene	235
operon_1121	2042031	2044920	+	2044455	2044753	-	1	end_in_gene	299
operon_1124	2047427	2048041	-	2047542	2048022	+	2	end_in_gene	481
operon_1125	2048079	2049892	+	2048586	2048912	-	1	end_in_gene	327
operon_1126	2049902	2052963	+	2050310	2050822	-	2	end_in_gene	513
operon_1126	2049902	2052963	+	2052152	2052506	-	1	end_in_gene	355
operon_1128	2054164	2056338	-	2052973	2053587	+	1	end_in_gene	615
operon_1128	2054164	2056338	-	2053599	2053866	+	1	end_in_gene	268
operon_1128	2054164	2056338	-	2054123	2054324	+	1	end_in_gene	202
operon_1128	2054164	2056338	-	2055240	2055599	+	1	end_in_gene	360
operon_1129	2055965	2057452	+	2055965	2056349	-	3	end_coding_next_gene	385
operon_1129	2055965	2057452	+	2056485	2057034	-	1	end_in_gene	550
operon_1131	2061075	2062758	-	2058281	2058894	+	1	end_in_gene	614
operon_1130	2057462	2061156	+	2058295	2058722	-	3	end_in_gene	428
operon_1130	2057462	2061156	+	2059041	2059310	-	1	end_in_gene	270
operon_1131	2061075	2062758	-	2059331	2059757	+	2	end_in_gene	427
operon_1130	2057462	2061156	+	2059712	2059968	-	1	end_in_gene	257
operon_1130	2057462	2061156	+	2060976	2061180	-	1	end_in_gene	205
operon_1132	2062768	2064765	-	2063016	2063374	+	1	end_in_gene	359
operon_1134	2066554	2069077	+	2066310	2066663	-	1	end_as_asRNA_for_next_operon	354
operon_1134	2066554	2069077	+	2067388	2067737	-	1	end_in_gene	350
operon_1135	2069087	2071903	+	2068996	2069532	-	1	end_as_asRNA_for_next_operon	537
operon_1135	2069087	2071903	+	2069943	2070443	-	3	end_in_gene	501
operon_1139	2074757	2075606	+	2074586	2075240	-	1	end_as_asRNA_for_next_operon	655
operon_1141	2078719	2079815	-	2075616	2076082	+	1	end_in_gene	467
operon_1140	2075616	2078926	+	2077560	2077943	-	2	end_in_gene	384
operon_1141	2078719	2079815	-	2077758	2078113	+	1	end_in_gene	356
operon_1141	2078719	2079815	-	2078248	2078731	+	2	end_in_gene	484
operon_1141	2078719	2079815	-	2079069	2079321	+	1	end_in_gene	253
operon_1141	2078719	2079815	-	2079328	2079582	+	1	end_in_gene	255
operon_1143	2080713	2087009	-	2079837	2080319	+	1	end_in_gene	483
operon_1143	2080713	2087009	-	2080767	2081203	+	1	end_in_gene	437
operon_1143	2080713	2087009	-	2081561	2081960	+	1	end_in_gene	400
operon_1143	2080713	2087009	-	2083282	2083652	+	1	end_in_gene	371
operon_1143	2080713	2087009	-	2084458	2084799	+	1	end_in_gene	342
operon_1144	2087019	2087921	-	2087181	2087686	+	2	end_in_gene	506
operon_1146	2089574	2096628	-	2091716	2092347	+	2	end_in_gene	632
operon_1147	2096767	2101648	+	2096782	2097130	-	1	end_in_gene	349
operon_1148	2101665	2103096	-	2096884	2097218	+	1	end_in_gene	335
operon_1148	2101665	2103096	-	2097355	2097633	+	1	end_in_gene	279
operon_1148	2101665	2103096	-	2099045	2099411	+	1	end_in_gene	367
operon_1147	2096767	2101648	+	2099272	2099573	-	1	end_in_gene	302
operon_1147	2096767	2101648	+	2101337	2101647	-	1	end_in_gene	311
operon_1148	2101665	2103096	-	2102873	2103341	+	1	end_as_asRNA_for_next_operon	469
operon_1149	2103106	2104114	-	2103280	2103351	+	1	end_in_gene	72
operon_1151	2104910	2107320	+	2105289	2105510	-	1	end_in_gene	222
operon_1151	2104910	2107320	+	2106323	2106698	-	1	end_in_gene	376
operon_1152	2107330	2109059	+	2108706	2109091	-	1	end_in_gene	386
operon_1155	2110601	2111371	-	2109551	2109884	+	1	end_in_gene	334
operon_1155	2110601	2111371	-	2111235	2111548	+	1	end_as_asRNA_for_next_operon	314
operon_1162	2123181	2123663	+	2123414	2123556	-	1	end_in_gene	143
operon_1163	2123673	2124202	+	2123435	2123907	-	1	end_as_asRNA_for_next_operon	473
operon_1164	2124212	2124976	+	2124729	2125126	-	3	end_in_gene	398
operon_1166	2127537	2130538	+	2127783	2128240	-	2	end_in_gene	458
operon_1167	2130530	2135908	-	2129542	2129885	+	1	end_in_gene	344
operon_1166	2127537	2130538	+	2129868	2130231	-	1	end_in_gene	364
operon_1167	2130530	2135908	-	2130247	2130620	+	1	end_in_gene	374
operon_1167	2130530	2135908	-	2132267	2132528	+	1	end_in_gene	262
operon_1167	2130530	2135908	-	2134170	2134569	+	2	end_in_gene	400
operon_1168	2136135	2137516	+	2136135	2136264	-	2	end_coding_next_gene	130
operon_1169	2137417	2138134	-	2136541	2136944	+	1	end_in_gene	404
operon_1168	2136135	2137516	+	2136781	2137095	-	1	end_in_gene	315
