TR_name	start_site	direction	TR_type	End_of_primary_data	actual_end_of_primary_data	min_of_primary_data	max_of_primary_data	End_of_total_data	actual_End_of_total_data	min_of_total_data	max_of_total_data
TR_2441728	2441728	-	leaderless_sense	2440340	2441118	2441050	2441248	2440184	2440184	2440172	2440194
TR_2442029	2442029	+	antisense_in_gene	2442512	2442436	2442302	2442502	2442039	2442158	2442029	2442310
TR_2442325	2442325	-	leaderless_sense	2441738	2441771	2441748	2441819	2441738	2441748	2441748	2441748
TR_2442947	2442947	+	antisense_in_gene	2443297	2443287	2443287	2443287	2443297	2443287	2443287	2443287
TR_2443216	2443216	-	leaderless_sense	2442335	2442410	2442358	2442487	2442335	2442046	2441748	2442345
TR_2443307	2443307	+	upstream_sense	2444593	2443991	2443879	2444177	2444593	2444614	2444499	2444670
TR_2445426	2445426	-	sense_for_next	2444594	2444869	2444774	2444916	2444594	2444595	2444545	2444666
TR_2446052	2446052	-	sense_for_next	2445423	2445512	2445446	2445560	2445423	2445446	2445446	2445446
TR_2446597	2446597	+	antisense_in_gene	2446970	2446981	2446897	2447107	2446607	2446767	2446597	2446965
TR_2448002	2448002	-	leaderless_sense	2445815	2446922	2446574	2447628	2445815	2445707	2445446	2446491
TR_2448120	2448120	+	upstream_sense	2449970	2448836	2448770	2448854	2450316	2450284	2450030	2450423
TR_2449448	2449448	-	antisense_in_gene	2448998	2449022	2449006	2449049	2449044	2449010	2448975	2449054
TR_2450050	2450050	+	antisense_in_gene	2450425	2450431	2450386	2450484	2450458	2450448	2450448	2450448
TR_2450547	2450547	-	in_gene_sense	2450167	2450132	2450071	2450177	2450178	2450105	2450023	2450188
TR_2451052	2451052	+	antisense_in_gene	2451564	2451537	2451458	2451583	2451531	2451540	2451521	2451560
TR_2451158	2451158	-	leaderless_sense	2450001	2450638	2450567	2450734	2450001	2450742	2450634	2450845
TR_2453333	2453333	-	upstream_sense	2452123	2452720	2452466	2452852	2452123	2452181	2451988	2452632
TR_2453456	2453456	-	upstream_sense	2453343	2453353	2453353	2453353	2453343	2453353	2453353	2453353
TR_2453750	2453750	-	upstream_sense	2453466	2453476	2453476	2453476	2453466	2453476	2453476	2453476
TR_2453851	2453851	+	in_gene_sense	2454493	2454545	2454207	2454959	2454204	2454893	2453851	2455814
TR_2456751	2456751	-	leaderless_sense	2455639	2456222	2456166	2456290	2455639	2455638	2455564	2455765
TR_2456887	2456887	+	upstream_sense	2458403	2457502	2457442	2457582	2461335	2460877	2460877	2460877
TR_2457260	2457260	-	antisense_in_gene	2456761	2456798	2456771	2456917	2456761	2456771	2456771	2456771
TR_2459301	2459301	-	antisense_in_gene	2458992	2458997	2458983	2459010	2459019	2458951	2458838	2459041
TR_2460326	2460326	-	antisense_in_gene	2459909	2459924	2459857	2459958	2459959	2459871	2459743	2459969
TR_2460961	2460961	-	antisense_in_gene	2460499	2460591	2460509	2460758	2460529	2460527	2460508	2460539
TR_2463146	2463146	-	upstream_sense	2462156	2462710	2462694	2462738	2462156	2462750	2462704	2462796
TR_2463275	2463275	+	antisense_in_gene	2463631	2463614	2463513	2463805	2463571	2463422	2463275	2463578
TR_2463665	2463665	-	upstream_sense	2463156	2463168	2463166	2463178	2462156	2462803	2462788	2462818
TR_2464844	2464844	-	upstream_sense	2463668	2464181	2464060	2464280	2463668	2463617	2463228	2464052
TR_2465005	2465005	+	leaderless_sense	2466963	2465631	2465538	2465687	2466963	2465993	2465707	2466089
TR_2466109	2466109	+	antisense_for_next	2466535	2466554	2466497	2466636	2467031	2467021	2467015	2467027
TR_2466659	2466659	-	antisense_in_gene	2466264	2466268	2466251	2466279	2466299	2466258	2466210	2466309
TR_2468069	2468069	-	upstream_sense	2467023	2467093	2467033	2467243	0	0	0	0
TR_2468148	2468148	+	upstream_sense	2469103	2469087	2468814	2469181	2469086	2469164	2469076	2469253
TR_2468507	2468507	-	antisense_in_gene	2468079	2467882	2467201	2468119	2466736	2466812	2466710	2467029
TR_2469391	2469391	-	upstream_sense	2468749	2468786	2468759	2468824	2468755	2468694	2468639	2468765
TR_2469413	2469413	+	antisense_in_gene	2469885	2469853	2469704	2469915	2469423	2469602	2469413	2469676
TR_2469573	2469573	-	sense_for_next	2469395	2469411	2469411	2469411	2469395	2469411	2469411	2469411
TR_2470541	2470541	-	upstream_sense	2469395	2469760	2469593	2470098	2469395	2469861	2469593	2470184
TR_2470630	2470630	+	leaderless_sense	2471389	2471393	2471241	2471552	2472504	2472525	2471743	2473170
TR_2471364	2471364	-	down_stream_antisense	2470931	2470968	2470941	2471001	2470966	2470928	2470888	2470976
TR_2473288	2473288	+	upstream_sense	2474946	2473601	2473590	2473634	2474946	2473766	2473638	2473939
TR_2473397	2473397	-	down_stream_antisense	2472825	2472845	2472798	2472920	2472792	2472711	2472664	2472802
TR_2474925	2474925	-	antisense_for_next	2474354	2474642	2474364	2474698	2474368	2474428	2474309	2474698
TR_2475978	2475978	-	leaderless_sense	2474872	2475156	2475017	2475257	2474872	2474945	2474945	2474945
TR_2477153	2477153	-	in_gene_sense	2476618	2476643	2476489	2476734	2476041	2475553	2474945	2476274
TR_2477198	2477198	+	leaderless_sense	2477189	2477179	2477179	2477179	2478334	2477551	2477179	2478172
TR_2477213	2477213	+	leaderless_sense	2478334	2477609	2477584	2477669	2478334	2478016	2477948	2478084
TR_2478346	2478346	+	leaderless_sense	2479893	2478931	2478776	2479137	2480088	2480132	2480078	2480168
TR_2478713	2478713	-	antisense_in_gene	2478391	2478382	2478324	2478430	2478347	2478214	2478162	2478357
TR_2480507	2480507	+	antisense_in_gene	2480888	2480838	2480776	2480905	2480590	2480686	2480580	2480796
TR_2481748	2481748	-	upstream_sense	2479931	2481280	2481227	2481304	2479931	2480867	2480276	2481200
TR_2481879	2481879	+	upstream_sense	2483634	2482447	2482374	2482493	2483634	2483589	2482606	2484572
TR_2484550	2484550	+	upstream_sense	2486216	2485341	2485124	2485579	2487134	2487132	2487124	2487140
TR_2485101	2485101	-	antisense_in_gene	2484770	2484757	2484707	2484797	2484873	2484774	2484575	2484892
TR_2486233	2486233	-	down_stream_antisense	2485818	2485831	2485749	2485872	2485879	2485801	2485625	2485889
TR_2486240	2486240	+	upstream_sense	2487081	2487002	2486836	2487071	0	0	0	0
TR_2486772	2486772	-	antisense_in_gene	2486501	2486493	2486397	2486545	2486526	2486515	2486475	2486560
TR_2487481	2487481	+	upstream_sense	2489059	2488614	2488280	2489118	2489346	2489391	2489336	2489490
TR_2487486	2487486	-	upstream_sense	2486920	2486936	2486896	2486974	2486938	2486883	2486829	2486948
TR_2488352	2488352	-	antisense_in_gene	2487981	2487943	2487889	2487991	2488016	2487888	2487725	2488026
TR_2489982	2489982	+	antisense_in_gene	2490331	2490300	2490269	2490321	2490311	2490330	2490183	2490460
TR_2492355	2492355	-	leaderless_sense	2489377	2492006	2492005	2492007	2489377	2492007	2492007	2492007
TR_2493750	2493750	-	leaderless_sense	2492410	2493238	2493169	2493277	2492365	2492375	2492375	2492375
TR_2495398	2495398	-	leaderless_sense	2493845	2494847	2494768	2494970	0	0	0	0
TR_2497025	2497025	-	leaderless_sense	2495469	2496428	2496352	2496511	2493845	2494947	2494822	2495073
TR_2497686	2497686	+	upstream_sense	2498595	2498496	2498241	2498633	2498733	2499091	2498723	2500144
TR_2498376	2498376	-	antisense_in_gene	2498006	2498002	2497977	2498023	2498010	2497942	2497848	2498043
TR_2498788	2498788	+	upstream_sense	2500381	2499511	2499300	2500536	2500381	2500566	2500344	2500817
TR_2499398	2499398	-	antisense_in_gene	2499096	2499060	2498851	2499135	2499165	2498957	2498396	2499175
TR_2500827	2500827	-	down_stream_antisense	2500389	2500399	2500399	2500399	2500389	2500399	2500399	2500399
TR_2500931	2500931	+	upstream_sense	2501640	2501460	2501433	2501500	2501640	2501592	2501475	2501705
TR_2501123	2501123	-	antisense_in_gene	2500837	2500847	2500847	2500847	2500837	2500847	2500847	2500847
TR_2504031	2504031	-	sense_for_next	2502743	2503546	2503141	2503749	2500939	2501064	2500949	2501179
TR_2505659	2505659	-	in_gene_sense	2505235	2505257	2505234	2505276	2504359	2503130	2501669	2504815
TR_2505660	2505660	+	antisense_in_gene	2506114	2506084	2506047	2506124	2506038	2506132	2506028	2506260
TR_2506436	2506436	+	in_gene_sense	2507245	2507230	2507077	2507438	2508575	2508681	2508565	2508921
TR_2506710	2506710	-	antisense_in_gene	2506212	2506212	2506174	2506224	2506215	2506222	2506218	2506225
TR_2508861	2508861	-	antisense_for_next	2508521	2508518	2508487	2508558	2508524	2508457	2508242	2508633
TR_2509423	2509423	+	upstream_sense	2510264	2510096	2509983	2510149	2510264	2510294	2510149	2510464
TR_2510169	2510169	+	antisense_for_next	2510435	2510430	2510412	2510454	2510470	2510435	2510410	2510460
TR_2510550	2510550	-	not_known	2510128	2510169	2510138	2510192	2510160	2510107	2510042	2510170
TR_2511654	2511654	-	leaderless_sense	2510723	2511049	2510936	2511126	2510603	2510629	2510626	2510635
TR_2512172	2512172	+	antisense_in_gene	2512396	2512606	2512386	2513063	2512396	2512386	2512386	2512386
TR_2512288	2512288	-	leaderless_sense	2511664	2511720	2511674	2511849	2511664	2511410	2510621	2511674
TR_2512406	2512406	+	upstream_sense	2515252	2513014	2512948	2513087	2516556	2515878	2515616	2516086
TR_2515312	2515312	+	leaderless_sense	2516556	2516109	2515925	2516295	0	0	0	0
TR_2516682	2516682	-	down_stream_antisense	2516113	2516223	2516112	2516436	2516420	2516116	2515822	2516430
TR_2516795	2516795	+	leaderless_sense	2517703	2517445	2517351	2517513	2522172	2520785	2520785	2520785
TR_2517747	2517747	-	down_stream_antisense	2517312	2517319	2517277	2517357	2517390	2517325	2517193	2517400
TR_2517994	2517994	+	sense_for_next	2520720	2520001	2519085	2520569	0	0	0	0
TR_2520589	2520589	+	sense_for_next	2523183	2522241	2522008	2522663	0	0	0	0
TR_2520749	2520749	-	down_stream_antisense	2520186	2520270	2520129	2520735	2520172	2520213	2520050	2520507
TR_2525383	2525383	+	upstream_sense	2527002	2526112	2525821	2526305	2527928	2527990	2527734	2528182
TR_2529395	2529395	-	antisense_for_next	2529069	2529103	2529075	2529143	0	0	0	0
TR_2529963	2529963	-	upstream_sense	2529351	2529525	2529482	2529574	2529144	2529141	2529084	2529240
TR_2532255	2532255	+	leaderless_sense	2533340	2532957	2532865	2533044	2534152	2534188	2534142	2534223
TR_2532310	2532310	-	antisense_in_gene	2531639	2531627	2531491	2531805	2530431	2530097	2529983	2530441
TR_2535562	2535562	-	leaderless_sense	2534480	2534919	2534762	2535104	2534480	2534273	2533965	2535125
TR_2536154	2536154	+	antisense_for_next	2536852	2536896	2536714	2537005	2537013	2537022	2536972	2537080
TR_2537637	2537637	-	in_gene_sense	2537256	2537254	2537228	2537275	2537274	2537232	2537152	2537284
TR_2538322	2538322	-	in_gene_sense	2537917	2537907	2537818	2537945	2537866	2537835	2537767	2537927
TR_2538666	2538666	-	upstream_sense	2536582	2538281	2537981	2538342	2536582	2538342	2538342	2538342
TR_2538714	2538714	+	leaderless_sense	2539939	2539275	2539170	2539393	2539939	2539421	2539076	2540056
TR_2540076	2540076	+	upstream_sense	2541400	2540495	2540464	2540550	2541400	2540547	2540447	2540637
TR_2540659	2540659	+	in_gene_sense	2541007	2541013	2540994	2541056	2540960	2541055	2540950	2541158
TR_2544315	2544315	-	sense_for_next	2542817	2543944	2543899	2543998	2542817	2544018	2543920	2544114
TR_2544393	2544393	+	antisense_in_gene	2544885	2544828	2544761	2544880	2544735	2544855	2544725	2544933
TR_2545295	2545295	+	upstream_sense	2546115	2545998	2545936	2546144	2546115	2546164	2546072	2546276
TR_2545596	2545596	-	antisense_in_gene	2545205	2545253	2545215	2545275	2545337	2545261	2545155	2545347
TR_2546716	2546716	-	in_gene_sense	2546458	2546483	2546465	2546520	2546458	2546474	2546464	2546499
TR_2546800	2546800	+	antisense_in_gene	2547408	2547377	2547242	2547514	2548297	2549001	2548287	2549455
TR_2548958	2548958	+	down_stream_antisense	2549331	2549322	2549246	2549415	2549230	2549251	2549220	2549282
TR_2549950	2549950	+	antisense_in_gene	2550935	2550612	2550451	2550925	2550400	2550510	2550365	2550787
TR_2551530	2551530	+	upstream_sense	2552949	2552186	2552168	2552214	2552949	2552861	2552210	2553122
TR_2552320	2552320	+	sense_for_next	2553063	2552998	2552834	2553078	2553119	2553109	2553109	2553109
TR_2554524	2554524	+	antisense_for_next	2554929	2554994	2554918	2555128	2554929	2554997	2554913	2555113
TR_2555487	2555487	-	in_gene_sense	2554885	2554922	2554895	2554977	2554934	2554958	2554893	2555101
TR_2556155	2556155	+	leaderless_sense	2557450	2556762	2556699	2556775	2557450	2557119	2556775	2557463
TR_2556795	2556795	+	in_gene_sense	2557348	2557224	2557122	2557353	2557473	2557387	2557312	2557463
TR_2557483	2557483	+	leaderless_sense	2558820	2558116	2558042	2558244	2558820	2558803	2558089	2559116
TR_2557733	2557733	-	antisense_in_gene	2557322	2557364	2557332	2557420	2557415	2557361	2557285	2557425
TR_2559616	2559616	-	upstream_sense	2558815	2558847	2558718	2559001	2558288	2558245	2558198	2558298
TR_2559749	2559749	+	in_gene_sense	2560778	2560609	2560221	2560866	2560225	2560694	2559749	2561406
TR_2560697	2560697	-	antisense_in_gene	2560204	2560247	2560175	2560295	2560238	2560176	2560105	2560248
TR_2560978	2560978	+	sense_for_next	2561715	2561301	2561202	2561406	2561715	2561394	2561383	2561406
TR_2561426	2561426	+	in_gene_sense	2562201	2562083	2562001	2562191	2562533	2562813	2562523	2562943
TR_2562188	2562188	-	antisense_in_gene	2561855	2561865	2561835	2561925	2561906	2561850	2561791	2561916
TR_2562211	2562211	+	sense_for_next	2562552	2562542	2562542	2562542	0	0	0	0
TR_2562562	2562562	+	upstream_sense	2563124	2562940	2562929	2562943	2563124	2562943	2562943	2562943
TR_2562963	2562963	+	sense_for_next	2564038	2563528	2563511	2563549	2564038	2563861	2563619	2564084
TR_2563537	2563537	-	antisense_in_gene	2563144	2563189	2563127	2563378	2563153	2563287	2563163	2563389
TR_2564282	2564282	+	down_stream_antisense	2564994	2564957	2564929	2564984	2564982	2564962	2564940	2564972
TR_2564545	2564545	-	sense_for_next	2564039	2564177	2564129	2564232	2564039	2564113	2564101	2564125
TR_2565121	2565121	-	upstream_sense	2564302	2564688	2564616	2564724	2564302	2564462	2564194	2564752
TR_2565177	2565177	+	upstream_sense	2565327	2565423	2565317	2565956	2565327	2565655	2565317	2566669
TR_2565337	2565337	+	leaderless_sense	2566615	2566413	2566016	2566605	2566756	2566753	2566746	2566757
TR_2566777	2566777	+	upstream_sense	2567420	2567323	2567265	2567395	2568416	2568764	2567520	2570251
TR_2567484	2567484	+	upstream_sense	2568416	2568210	2568090	2568811	0	0	0	0
TR_2567852	2567852	-	antisense_in_gene	2567492	2567494	2567480	2567502	2567378	2567438	2567388	2567483
TR_2568110	2568110	+	sense_for_next	2568953	2568880	2568745	2569072	2568989	2569644	2568979	2570310
TR_2568115	2568115	-	antisense_in_gene	2567862	2567759	2567508	2567872	2567574	2567800	2567584	2567872
TR_2568239	2568239	-	antisense_in_gene	2568125	2568135	2568135	2568135	2568125	2568135	2568135	2568135
TR_2569092	2569092	+	leaderless_sense	2570281	2569993	2569640	2570271	2570466	2570456	2570456	2570456
TR_2570415	2570415	-	antisense_for_next	2569815	2569921	2569825	2569967	0	0	0	0
TR_2572035	2572035	-	upstream_sense	2570069	2571249	2571014	2571426	2569892	2569843	2569761	2569902
TR_2572293	2572293	+	antisense_in_gene	2573015	2572959	2572845	2573005	2573015	2573005	2573005	2573005
TR_2572893	2572893	-	in_gene_sense	2572565	2572589	2572575	2572628	2572496	2572280	2572055	2572506
TR_2573025	2573025	+	leaderless_sense	2573777	2573735	2573579	2573767	2573777	2574300	2573767	2574851
TR_2573787	2573787	+	upstream_sense	2574491	2574435	2574370	2574495	2574492	2574537	2574482	2574593
TR_2575608	2575608	-	upstream_sense	2575026	2575118	2575077	2575190	2575026	2574991	2574866	2575126
TR_2576741	2576741	-	antisense_in_gene	2576224	2576255	2576225	2576314	2576224	2576195	2576027	2576375
TR_2578005	2578005	-	antisense_for_next	2577622	2577628	2577595	2577658	2577664	2577606	2577522	2577677
TR_2578655	2578655	-	in_gene_sense	2578199	2578210	2578209	2578211	2578201	2578121	2578025	2578211
TR_2579186	2579186	-	upstream_sense	2578800	2578818	2578803	2578837	2578873	2578820	2578781	2578883
TR_2579297	2579297	-	sense_for_next	2579196	2579145	2578841	2579206	2579196	2579206	2579206	2579206
TR_2580338	2580338	-	upstream_sense	2580005	2580016	2580011	2580023	2580019	2579969	2579901	2580029
TR_2581576	2581576	-	down_stream_antisense	2581299	2581309	2581297	2581344	2581193	2580976	2580489	2581236
TR_2581750	2581750	+	down_stream_antisense	2582308	2582097	2582002	2582298	2582111	2582021	2581927	2582128
TR_2582035	2582035	-	sense_for_next	2581735	2581749	2581743	2581765	2581770	2581690	2581489	2581780
TR_2584645	2584645	-	antisense_in_gene	2584327	2584344	2584275	2584378	2584367	2584264	2584097	2584377
TR_2585012	2585012	-	down_stream_antisense	2584663	2584689	2584673	2584707	2584731	2584741	2584741	2584741
TR_2585995	2585995	-	sense_for_next	2585062	2585449	2585359	2585526	0	0	0	0
TR_2586632	2586632	+	antisense_in_gene	2587007	2586979	2586945	2587019	2586827	2586925	2586817	2586996
TR_2587311	2587311	-	sense_for_next	2585927	2586724	2586442	2586858	2585926	2585936	2585936	2585936
TR_2588814	2588814	-	leaderless_sense	2587297	2588277	2588166	2588391	2585926	2586377	2585936	2587702
TR_2590858	2590858	+	in_gene_sense	2591279	2591253	2591216	2591307	2591069	2591340	2591059	2591689
TR_2591181	2591181	-	antisense_in_gene	2590808	2590827	2590746	2590943	2590881	2590832	2590724	2590918
TR_2594952	2594952	-	sense_for_next	2594164	2594636	2594606	2594670	2594164	2594539	2594539	2594539
TR_2596219	2596219	-	in_gene_sense	2595575	2595611	2595459	2595917	2596013	2593177	2592229	2596023
TR_2596306	2596306	+	upstream_sense	2596946	2596924	2596854	2597031	2596862	2596974	2596852	2597036
TR_2597997	2597997	-	sense_for_next	2597019	2597362	2597155	2597526	0	0	0	0
TR_2599912	2599912	-	in_gene_sense	2599346	2599339	2599271	2599369	2596949	2596965	2596885	2597124
TR_2599998	2599998	+	leaderless_sense	2600539	2600508	2600449	2600536	2600581	2601141	2600571	2601701
TR_2600680	2600680	-	down_stream_antisense	2600239	2600237	2600174	2600260	2600262	2600167	2600042	2600272
TR_2600692	2600692	+	upstream_sense	2601889	2601461	2601238	2601724	2601889	2601791	2601790	2601793
TR_2602455	2602455	-	antisense_for_next	2601794	2601810	2601758	2601855	0	0	0	0
TR_2603509	2603509	-	upstream_sense	2601924	2602885	2602792	2602979	2601662	2601595	2601456	2601712
TR_2603630	2603630	-	upstream_sense	2603519	2603529	2603529	2603529	2603519	2603529	2603529	2603529
TR_2603867	2603867	+	antisense_in_gene	2604319	2604309	2604309	2604309	2604319	2604271	2604158	2604309
TR_2604329	2604329	+	in_gene_sense	2604668	2604666	2604650	2604703	2604665	2605753	2604651	2606899
TR_2604824	2604824	+	in_gene_sense	2605656	2605474	2605060	2606260	2606961	2606960	2606951	2606969
TR_2607021	2607021	+	antisense_in_gene	2607629	2607536	2607447	2607619	2607485	2607608	2607469	2607760
TR_2607485	2607485	-	antisense_for_next	2606557	2606750	2606567	2607037	2606566	2606497	2606418	2606576
TR_2608367	2608367	-	upstream_sense	2606718	2607901	2607854	2607959	2606718	2607149	2606359	2608020
TR_2608536	2608536	+	upstream_sense	2609738	2609198	2609048	2609459	2610431	2610439	2610233	2610551
TR_2609209	2609209	-	antisense_in_gene	2608471	2608455	2608404	2608494	2608958	2608701	2608387	2608980
TR_2609688	2609688	-	antisense_in_gene	2609343	2609372	2609343	2609424	2609326	2609355	2609336	2609375
TR_2610793	2610793	+	upstream_sense	2611815	2611382	2611288	2611464	2611926	2612094	2611916	2612295
TR_2611512	2611512	-	antisense_in_gene	2610845	2610954	2610855	2611136	2611129	2610830	2610719	2611139
TR_2611727	2611727	-	antisense_in_gene	2611522	2611532	2611532	2611532	2611522	2611555	2611532	2611602
TR_2613090	2613090	-	upstream_sense	2611879	2612650	2612598	2612714	0	0	0	0
TR_2614113	2614113	-	upstream_sense	2613117	2613425	2613217	2613660	2611879	2612132	2612014	2612253
TR_2614524	2614524	+	upstream_sense	2617591	2615083	2614981	2615142	2617591	2616580	2615052	2617981
TR_2617016	2617016	+	antisense_for_next	2617437	2617479	2617427	2617744	2617754	2617872	2617744	2618000
TR_2617447	2617447	+	antisense_for_next	2618081	2617871	2617744	2618071	0	0	0	0
TR_2618919	2618919	+	down_stream_antisense	2618918	2618908	2618908	2618908	2618918	2618908	2618908	2618908
TR_2618981	2618981	-	upstream_sense	2617677	2618658	2618645	2618670	2617677	2617943	2617720	2618049
TR_2619528	2619528	-	upstream_sense	2619094	2619097	2619077	2619119	2619121	2619067	2619001	2619131
TR_2620031	2620031	+	upstream_sense	2620244	2620234	2620234	2620234	2620244	2620234	2620234	2620234
TR_2620254	2620254	+	upstream_sense	2620743	2620701	2620669	2620733	2620748	2620734	2620707	2620749
TR_2622462	2622462	-	leaderless_sense	2620543	2621992	2621962	2622058	2620543	2620678	2620370	2621457
TR_2623763	2623763	-	upstream_sense	2622467	2623217	2623079	2623311	2622467	2622605	2622482	2622781
TR_2623831	2623831	+	leaderless_sense	2625813	2624372	2624273	2624465	2626126	2626153	2626116	2626233
TR_2624433	2624433	-	antisense_in_gene	2624028	2624030	2623925	2624088	2624057	2623902	2623783	2624067
TR_2624947	2624947	-	antisense_in_gene	2624443	2624453	2624453	2624453	2624443	2624453	2624453	2624453
TR_2625855	2625855	+	down_stream_antisense	2626272	2626207	2626182	2626262	0	0	0	0
TR_2627056	2627056	-	upstream_sense	2625808	2625977	2625815	2626329	2625808	2625763	2625602	2625818
TR_2628056	2628056	+	antisense_in_gene	2628759	2628705	2628628	2628824	2628716	2628730	2628587	2628869
TR_2630386	2630386	-	upstream_sense	2628791	2629752	2629427	2629908	2627066	2627076	2627076	2627076
TR_2630411	2630411	+	down_stream_antisense	2631208	2631162	2631102	2631208	2631211	2631273	2631201	2631349
TR_2631393	2631393	+	antisense_in_gene	2632063	2632024	2631880	2632123	2632030	2632052	2631933	2632137
TR_2632134	2632134	-	upstream_sense	2630396	2630943	2630406	2631737	2630396	2630406	2630406	2630406
TR_2632157	2632157	+	down_stream_antisense	2632893	2632890	2632875	2632904	2632857	2632863	2632825	2632897
TR_2633374	2633374	-	sense_for_next	2632725	2632776	2632727	2632953	2632631	2632589	2632458	2632668
TR_2634176	2634176	-	upstream_sense	2632933	2633767	2633683	2633836	2632933	2633400	2632335	2633794
TR_2636975	2636975	-	down_stream_antisense	2636626	2636626	2636610	2636649	2636689	2636696	2636693	2636699
TR_2637329	2637329	-	down_stream_antisense	2636985	2636940	2636667	2636995	2636985	2636882	2636658	2636995
TR_2637481	2637481	+	down_stream_antisense	2638018	2637967	2637871	2638049	2638086	2638195	2638074	2638317
TR_2637754	2637754	-	antisense_for_next	2637354	2637355	2637349	2637373	0	0	0	0
TR_2639560	2639560	-	upstream_sense	2637698	2638140	2637774	2638857	2637368	2637186	2636648	2637378
TR_2640298	2640298	+	antisense_in_gene	2641033	2640816	2640676	2641023	2640582	2640605	2640298	2641009
TR_2641043	2641043	+	antisense_in_gene	2641197	2641187	2641187	2641187	2641197	2641187	2641187	2641187
TR_2641175	2641175	-	upstream_sense	2639683	2640543	2640422	2640622	2639683	2639788	2639617	2640296
TR_2641207	2641207	+	upstream_sense	2642052	2641745	2641694	2641806	2642052	2642124	2641974	2642217
TR_2642436	2642436	+	antisense_in_gene	2643737	2643276	2642879	2643727	2642678	2643478	2642668	2643851
TR_2642686	2642686	-	sense_for_next	2642147	2642106	2642077	2642157	0	0	0	0
TR_2642962	2642962	-	sense_for_next	2642588	2642606	2642105	2642709	0	0	0	0
TR_2643479	2643479	-	sense_for_next	2642588	2643005	2642982	2643060	2642044	2642054	2642054	2642054
TR_2643971	2643971	-	in_gene_sense	2643697	2643677	2643609	2643722	2642070	2642080	2642080	2642080
TR_2644268	2644268	-	leaderless_sense	2643471	2643942	2643697	2643991	2643471	2642897	2641889	2643991
TR_2644330	2644330	+	leaderless_sense	2645784	2644807	2644718	2644940	2645784	2645322	2644509	2646139
TR_2645262	2645262	+	antisense_for_next	2645669	2645614	2645589	2645659	2645881	2645893	2645871	2645916
TR_2648918	2648918	-	leaderless_sense	2647070	2648091	2647851	2648395	2646757	2646946	2646946	2646946
TR_2649650	2649650	+	antisense_in_gene	2650107	2650085	2650067	2650103	2650078	2650131	2650068	2650199
TR_2650046	2650046	-	sense_for_next	2648926	2649542	2649467	2649596	2648926	2647436	2646056	2649523
TR_2651688	2651688	+	upstream_sense	2652222	2652190	2652132	2652257	2652159	2652706	2652129	2653461
TR_2653137	2653137	-	sense_for_next	2652047	2652700	2652625	2652740	0	0	0	0
TR_2654100	2654100	-	sense_for_next	2652849	2653445	2653383	2653544	0	0	0	0
TR_2654207	2654207	+	antisense_in_gene	2654718	2654715	2654606	2654820	2654554	2654649	2654207	2654930
TR_2655137	2655137	-	upstream_sense	2654072	2654235	2654120	2654572	2652047	2652586	2652558	2652614
TR_2655231	2655231	+	upstream_sense	2655777	2655745	2655696	2655775	2655716	2655825	2655706	2655939
TR_2655268	2655268	-	upstream_sense	2655147	2655157	2655157	2655157	2655147	2653818	2652453	2655157
TR_2656166	2656166	-	upstream_sense	2655470	2655518	2655480	2655556	2655400	2655346	2655311	2655410
TR_2657460	2657460	-	in_gene_sense	2657083	2657082	2657037	2657161	2657043	2656402	2656186	2657053
TR_2659603	2659603	+	antisense_in_gene	2660010	2659998	2659962	2660027	2659971	2659990	2659961	2660033
TR_2660329	2660329	-	in_gene_sense	2660003	2659996	2659970	2660016	2659904	2659235	2658064	2659958
TR_2664812	2664812	-	in_gene_sense	2664408	2664399	2664289	2664434	2664431	2664248	2664015	2664441
TR_2666725	2666725	-	in_gene_sense	2666424	2666437	2666398	2666483	2665235	2665334	2664832	2666429
TR_2675848	2675848	+	upstream_sense	2675847	2675837	2675837	2675837	2675847	2676007	2675837	2676517
TR_2675883	2675883	-	upstream_sense	2671603	2675423	2675373	2675451	2671603	2675187	2674986	2675403
TR_2677475	2677475	+	sense_for_next	2678659	2678099	2678047	2678186	2678659	2678345	2678054	2678570
TR_2680022	2680022	-	upstream_sense	2678663	2679590	2679558	2679633	2678634	2678442	2678200	2678644
TR_2680344	2680344	+	upstream_sense	2682028	2680846	2680800	2680897	2682028	2681816	2681285	2682111
TR_2681053	2681053	+	in_gene_sense	2681902	2681805	2681495	2682085	0	0	0	0
TR_2681474	2681474	-	antisense_in_gene	2680373	2680656	2680383	2681061	2680229	2680318	2680239	2680458
TR_2682318	2682318	-	antisense_for_next	2681840	2681892	2681850	2681939	2681899	2681909	2681909	2681909
TR_2683487	2683487	-	sense_for_next	2682025	2683083	2682559	2683215	2683205	2682526	2681837	2683215
TR_2683867	2683867	+	antisense_in_gene	2684372	2684223	2683985	2684362	2684308	2684279	2683985	2684419
TR_2684323	2684323	-	upstream_sense	2683258	2683458	2683215	2683507	2683258	2682697	2681837	2683507
TR_2684439	2684439	+	upstream_sense	2686380	2685167	2685014	2685292	2687141	2686916	2686439	2687323
TR_2687859	2687859	+	sense_for_next	2689951	2688355	2688290	2688385	2692085	2690590	2688683	2691849
TR_2689169	2689169	-	antisense_in_gene	2688765	2688774	2688772	2688780	2688761	2688727	2688616	2688773
TR_2689852	2689852	+	sense_for_next	2692085	2690620	2690062	2690926	2692166	2692156	2692156	2692156
TR_2692176	2692176	+	upstream_sense	2692752	2692711	2692695	2692742	2692768	2692873	2692758	2692997
