genome_position	direction	TSS_intensity	Initiated_opeoron_or_not	location_in_genes	New_tss_intensity	fold_change	upstream_tss_coverage	downstream_tss_coverage	
1484226	-	211	operon_start_site	gap_sense	219	4.65	557	2594	TSS
1484250	+	393	operon_start_site	gap_sense	398	2.65	2248	5969	TSS
1484988	+	250	operon_start_site	gene_sense_leadless	241	4.69	624	2934	TSS
1485774	-	3552	operon_start_site	gene_sense_leadless	2820	101.1	253	25679	TSS
1485797	+	880	operon_start_site	gap_sense	725	2.89	3530	10212	TSS
1487167	+	1453	operon_start_site	gene_sense_leadless	1157	9.68	1243	12045	TSS
1490416	-	150	operon_start_site	gene_sense	114	18.56	60	1132	TSS
1494482	-	674	operon_start_site	gap_sense	625	6.88	582	4011	TSS
1494570	+	306	operon_start_site	gene_sense_leadless	197	7.1	296	2109	TSS
1500616	-	52	operon_start_site	gap_sense	46	9.2	50	469	TSS
1500667	+	2006	operon_start_site	gene_sense_leadless	1427	13.87	1034	14358	TSS
1504886	+	611	operon_start_site	gene_sense	424	8.67	535	4645	TSS
1505974	+	569	operon_start_site	gene_sense	821	11.84	703	8332	TSS
1508929	-	380	operon_start_site	gene_sense_leadless	1282	50.18	230	11592	TSS
1509040	+	450	operon_start_site	gene_sense	1404	9.81	1466	14388	TSS
1509193	+	602	operon_start_site	gene_sense	566	1.34	15564	20814	 
1512730	+	33	operon_start_site	gap_sense	21	2.06	174	360	TSS
1512870	+	382	operon_start_site	gap_sense	788	13.9	601	8369	TSS
1517497	+	124	operon_start_site	gene_sense_leadless	71	6	132	798	TSS
1518198	+	63	operon_start_site	gene_sense	35	2.86	181	520	TSS
1518734	+	1229	operon_start_site	gap_sense	576	15.5	376	5842	TSS
1525642	+	90	operon_start_site	gene_antisense	93	1.95	836	1628	TSS
1531354	+	304	operon_start_site	gene_sense_leadless	221	19.11	117	2255	TSS
1533668	-	717	operon_start_site	gap_sense	1518	18.47	790	14607	TSS
1535560	-	187	operon_start_site	gap_sense	125	13.01	87	1145	TSS
1537718	-	308	operon_start_site	gap_sense	216	3.34	882	2947	TSS
1538246	-	403	operon_start_site	gap_sense	290	42.48	65	2804	TSS
1538426	+	44	operon_start_site	gene_sense	33	8.79	38	343	TSS
1539178	+	123	operon_start_site	gene_sense	73	1.9	765	1453	TSS
1540727	-	265	operon_start_site	gap_sense	359	114.71	20	2409	TSS
1540818	+	159	operon_start_site	gap_sense	60	2.87	305	879	TSS
1545738	+	319	operon_start_site	gene_sense	170	3.08	767	2365	TSS
1547605	+	677	operon_start_site	gap_sense	214	2.84	1070	3046	TSS
1548431	+	218	operon_start_site	gene_sense	117	5.93	221	1316	TSS
1551223	-	111	operon_start_site	gene_sense_leadless	75	2.65	432	1146	TSS
1552603	+	389	operon_start_site	gene_antisense	455	18.6	242	4520	TSS
1552746	-	118	operon_start_site	gene_antisense	68	11.25	67	765	TSS
1561391	+	1898	operon_start_site	gap_sense	1739	149.98	106	16048	TSS
1563890	+	1636	operon_start_site	gene_sense	1182	2.74	6432	17656	TSS
1565009	+	2378	operon_start_site	gene_sense	2318	11.41	2133	24339	TSS
1570975	-	150	operon_start_site	gene_sense_leadless	61	11.23	55	629	TSS
1571026	+	53	operon_start_site	gap_sense	45	4.08	141	579	TSS
1574773	-	22172	operon_start_site	gene_sense_leadless	13919	631.61	145	92215	TSS
1576753	+	260	operon_start_site	gene_antisense	237	22.56	104	2369	TSS
1576802	-	151	operon_start_site	gene_sense_leadless	63	14.41	43	634	TSS
1580539	+	684	operon_start_site	gap_sense	246	5.11	557	2850	TSS
1582089	-	73	operon_start_site	gap_sense	6	6.09	10	67	 
1582172	+	76	operon_start_site	gene_sense_leadless	123	11.32	111	1268	TSS
1584514	+	367	operon_start_site	gene_sense	252	16.03	157	2532	TSS
1588488	-	910	operon_start_site	gene_sense_leadless	886	439.37	18	8348	TSS
1588573	+	157	operon_start_site	gene_sense_leadless	63	1.43	1410	2019	 
1589153	+	116	operon_start_site	gene_sense	60	2.83	418	1186	TSS
1590355	+	550	operon_start_site	gap_sense	333	14.84	234	3487	TSS
1591472	+	371	operon_start_site	gene_sense	195	10.02	212	2135	TSS
1592645	+	311	operon_start_site	gene_sense_leadless	340	10.61	344	3662	TSS
1593508	+	956	operon_start_site	gap_sense	1408	16.97	854	14513	TSS
1597781	+	261	operon_start_site	gene_sense	238	13.05	189	2479	TSS
1599664	+	527	operon_start_site	gene_sense_leadless	215	10.79	200	2169	TSS
1604809	-	323	operon_start_site	gap_sense	216	1906	0	1906	TSS
1604981	+	57	operon_start_site	gene_sense	29	1.55	501	778	TSS
1606369	+	88	operon_start_site	gap_sense	78	6.06	141	860	TSS
1608056	+	112	operon_start_site	gap_sense	42	13.58	30	421	TSS
1611409	+	416	operon_start_site	gap_sense	215	21.41	100	2162	TSS
1613047	-	721	operon_start_site	gap_sense	921	10.91	512	5598	TSS
1613262	+	976	operon_start_site	gap_sense	489	11.79	412	4868	TSS
1617843	+	1008	operon_start_site	gene_sense_leadless	886	23.16	381	8848	TSS
1619690	-	80	operon_start_site	gene_sense_leadless	69	8.39	82	696	TSS
1619797	+	251	operon_start_site	gene_sense_leadless	248	4.83	634	3070	TSS
1622677	-	582	operon_start_site	gene_sense	340	46.37	66	3107	TSS
1623694	-	326	operon_start_site	gene_sense	216	23.31	90	2121	TSS
1628905	-	169	operon_start_site	gene_sense	190	8.15	160	1312	TSS
1630235	-	310	operon_start_site	gap_sense	223	2.38	1465	3492	TSS
1634993	+	718	operon_start_site	gap_sense	703	6.58	1203	7918	TSS
1638230	+	73	operon_start_site	gene_antisense	25	122	1	244	TSS
1640670	-	182	operon_start_site	gap_sense	73	9.53	50	486	TSS
1640686	+	36	operon_start_site	gene_sense_leadless	35	2.92	149	438	TSS
1642413	-	181	operon_start_site	gene_sense	191	17.33	102	1785	TSS
1644376	-	195	operon_start_site	gene_sense	145	2.19	760	1664	TSS
1646144	-	95	operon_start_site	gene_sense_leadless	132	2.62	727	1904	TSS
1646264	+	427	operon_start_site	gene_sense	634	16.48	386	6378	TSS
1655546	-	68	operon_start_site	gap_sense	88	8.47	90	771	TSS
1656757	-	355	operon_start_site	gap_sense	393	29.76	122	3661	TSS
1656930	+	179	operon_start_site	gap_sense	114	21.07	53	1138	TSS
1658953	+	197	operon_start_site	gap_sense	76	11.55	66	774	TSS
1659376	+	407	operon_start_site	gene_sense_leadless	356	5.42	758	4110	TSS
1659817	+	442	operon_start_site	gene_sense	480	2.42	2982	7205	TSS
1660483	+	209	operon_start_site	gene_sense	220	3.23	934	3022	TSS
1666103	-	1163	operon_start_site	gap_sense	438	21.81	192	4209	TSS
1666187	+	275	operon_start_site	gap_sense	128	10.25	129	1332	TSS
1666926	+	683	operon_start_site	gap_sense	479	21.83	220	4824	TSS
1669220	+	618	operon_start_site	gap_sense	485	3.81	1644	6269	TSS
1673446	+	597	operon_start_site	gene_sense_leadless	703	12.39	613	7610	TSS
1676892	-	728	operon_start_site	gap_sense	676	12.92	410	5309	TSS
1676947	+	578	operon_start_site	gene_sense_leadless	524	15.11	351	5319	TSS
1677541	+	193	operon_start_site	gene_sense	242	8.25	313	2592	TSS
1678558	+	539	operon_start_site	gene_sense_leadless	419	19.47	210	4109	TSS
1681863	+	147	operon_start_site	gene_antisense	23	4.14	64	269	TSS
1681972	-	437	operon_start_site	gene_sense_leadless	536	26.11	200	5248	TSS
1686316	+	175	operon_start_site	gene_sense	183	11.37	166	1898	TSS
1687947	+	1297	operon_start_site	gene_sense_leadless	1205	8.93	1437	12841	TSS
1690397	-	205	operon_start_site	gap_sense	107	1.95	685	1340	TSS
1690820	+	120	operon_start_site	gap_sense	62	4.4	175	774	TSS
1692652	+	572	operon_start_site	gene_sense	287	475.17	5	2851	TSS
1699814	+	186	operon_start_site	gene_antisense	106	6.52	172	1128	TSS
1700344	+	69	operon_start_site	gene_sense	29	1.8	321	581	TSS
1703027	+	527	operon_start_site	gap_sense	268	7.24	384	2786	TSS
1704009	+	51	operon_start_site	gene_sense	32	2.25	183	414	TSS
1708658	-	97	operon_start_site	gap_sense	139	17.62	78	1392	TSS
1708876	+	31	operon_start_site	gap_sense	24	6.57	41	276	TSS
1709545	+	62	operon_start_site	gene_sense	18	5.32	36	197	TSS
1710712	+	387	operon_start_site	gap_sense	812	10.6	787	8353	TSS
1712314	+	517	operon_start_site	gene_sense	341	13	263	3431	TSS
1717585	+	24	operon_start_site	gene_antisense	3	1.38	70	98	 
1717618	-	159	operon_start_site	gene_sense_leadless	122	35.71	30	1107	TSS
1729276	-	67	operon_start_site	gene_sense	14	6.83	11	82	TSS
1729500	+	259	operon_start_site	gap_sense	101	5.42	229	1247	TSS
1731379	+	76	operon_start_site	gene_sense_leadless	44	10.18	44	458	TSS
1732438	+	123	operon_start_site	gene_sense	91	16.44	56	937	TSS
1733561	-	62	operon_start_site	gap_sense	57	27.82	10	306	TSS
1733616	+	490	operon_start_site	gene_sense_leadless	419	15.13	292	4432	TSS
1735514	+	11993	operon_start_site	gap_sense	11601	68.41	1690	115683	TSS
1736296	+	1973	operon_start_site	gap_sense	1164	2.73	6506	17736	TSS
1742165	-	58	operon_start_site	gene_sense	38	6.75	62	425	TSS
1742250	+	590	operon_start_site	gene_sense_leadless	424	5.05	1006	5084	TSS
1744842	-	90	operon_start_site	gene_sense_leadless	2	1.1	40	45	 
1745024	+	640	operon_start_site	gap_sense	271	17.01	156	2671	TSS
1747201	+	282	operon_start_site	gene_sense_leadless	278	11.8	253	2996	TSS
1747698	+	388	operon_start_site	gap_sense	408	2.85	1844	5250	TSS
1753571	+	194	operon_start_site	gene_sense	18	11	16	187	TSS
1753721	-	87	operon_start_site	gene_antisense	60	3.74	204	767	TSS
1757406	+	107	operon_start_site	gap_sense	1	1.25	31	40	 
1761015	+	136	operon_start_site	gene_sense	114	4.14	344	1427	TSS
1761675	+	72	operon_start_site	gap_sense	24	2.16	189	410	TSS
1762953	+	512	operon_start_site	gene_sense_leadless	419	8.16	568	4643	TSS
1763434	+	489	operon_start_site	gene_sense_leadless	335	2.36	2381	5623	TSS
1764776	+	238	operon_start_site	gene_sense	328	16.6	199	3320	TSS
1773839	-	247	operon_start_site	gap_sense	241	8.08	315	2553	TSS
1774728	-	844	operon_start_site	gap_sense	658	12.54	522	6557	TSS
1775315	-	97	operon_start_site	gap_sense	93	874	0	874	TSS
1775398	+	90	operon_start_site	gene_sense_leadless	77	1.53	1254	1916	TSS
1782734	-	923	operon_start_site	gap_sense	509	35.19	135	4786	TSS
1788497	-	184	operon_start_site	gene_sense	177	57.9	20	1216	TSS
1789843	-	85	operon_start_site	gene_sense_leadless	81	18.66	40	765	TSS
1790207	+	244	operon_start_site	gap_sense	275	23.46	133	3144	TSS
1793899	-	285	operon_start_site	gap_sense	897	101.23	78	7997	TSS
1794714	-	397	operon_start_site	gene_sense_leadless	252	1188.5	1	2377	TSS
1794715	+	1115	operon_start_site	gap_sense	632	8.49	742	6306	TSS
1799516	-	507	operon_start_site	gap_sense	342	41.94	69	2936	TSS
1799572	+	383	operon_start_site	gap_sense	359	9.18	413	3801	TSS
1805930	+	337	operon_start_site	gene_sense	327	3.98	1045	4161	TSS
1807769	-	253	operon_start_site	gene_sense_leadless	250	68.32	33	2323	TSS
1807910	+	324	operon_start_site	gene_sense_leadless	336	3.4	1385	4711	TSS
1809254	+	63	operon_start_site	gene_sense	64	7.13	100	720	TSS
1810192	+	1457	operon_start_site	gap_sense	1090	25.55	420	10757	TSS
1815317	+	824	operon_start_site	gene_sense	761	12.98	598	7773	TSS
1816196	+	511	operon_start_site	gene_sense_leadless	526	6.11	931	5693	TSS
1825935	-	719	operon_start_site	gap_sense	566	5.11	1212	6203	TSS
1826583	-	171	operon_start_site	gene_sense	105	10.15	100	1025	TSS
1827952	-	676	operon_start_site	gene_sense_leadless	659	40.6	155	6334	TSS
1828104	-	39	operon_start_site	gap_sense	5	1.46	80	118	 
1828122	+	642	operon_start_site	gap_sense	568	98.09	57	5689	TSS
1830568	-	561	operon_start_site	gene_sense_leadless	580	5.58	1095	6121	TSS
1830672	+	91	operon_start_site	gene_sense_leadless	89	10.11	88	900	TSS
1833500	+	2921	operon_start_site	gap_sense	1919	159.6	114	18354	TSS
1836903	-	402	operon_start_site	gap_sense	207	6.63	311	2069	TSS
1837019	+	486	operon_start_site	gap_sense	407	11.66	362	4234	TSS
1842315	-	179	operon_start_site	gap_sense	182	28.79	62	1814	TSS
1842395	+	846	operon_start_site	gap_sense	494	12.75	386	4935	TSS
1843649	-	128	operon_start_site	gene_sense	99	236.75	3	947	TSS
1843707	+	182	operon_start_site	gap_sense	150	9.26	167	1555	TSS
1848447	-	1202	operon_start_site	gene_sense	1012	118.47	76	9122	TSS
1851998	+	3657	operon_start_site	gene_antisense	5342	13.26	4020	53299	TSS
1855469	-	127	operon_start_site	gap_sense	58	3.97	186	742	TSS
1855714	+	1046	operon_start_site	gap_sense	860	4.4	2109	9294	TSS
1856355	+	299	operon_start_site	gene_sense	242	3.44	839	2892	TSS
1857539	+	77	operon_start_site	gene_sense	81	4.53	210	955	TSS
1858600	+	233	operon_start_site	gap_sense	294	9.33	326	3050	TSS
1865598	+	159	operon_start_site	gene_sense	225	22.08	105	2341	TSS
1871301	+	111	operon_start_site	gene_sense	85	10.55	84	897	TSS
1874110	+	148	operon_start_site	gap_sense	97	58.47	14	877	TSS
1886283	+	52	operon_start_site	gene_sense	36	5.56	71	400	TSS
1887564	+	74	operon_start_site	gene_sense	29	4.78	68	330	TSS
1891199	+	353	operon_start_site	gap_sense	191	6.91	284	1968	TSS
1895354	-	61	operon_start_site	gap_sense	41	24.73	10	272	TSS
1895760	+	13	operon_start_site	gene_sense	2	1.37	50	70	 
1896093	+	189	operon_start_site	gene_sense	56	8.04	76	619	TSS
1898238	-	126	operon_start_site	gap_sense	90	33.56	24	839	TSS
1901183	+	736	operon_start_site	gene_sense	385	61.79	62	3893	TSS
1906326	+	103	operon_start_site	gap_sense	30	11.37	26	307	TSS
1907585	+	192	operon_start_site	gap_sense	63	1.35	1685	2279	 
1910295	+	287	operon_start_site	gene_sense	195	3.89	666	2597	TSS
1912927	-	62	operon_start_site	gene_sense_leadless	53	244.5	1	489	TSS
1912985	+	38	operon_start_site	gap_sense	35	19.28	17	347	TSS
1913608	+	86	operon_start_site	gap_sense	76	12.04	66	807	TSS
1915491	+	175	operon_start_site	gap_sense	75	9.82	81	805	TSS
1916585	+	81	operon_start_site	gene_sense	69	8.42	102	867	TSS
1917762	+	445	operon_start_site	gene_sense	473	10.87	441	4805	TSS
1918487	+	141	operon_start_site	gene_sense	111	4.91	266	1312	TSS
1921549	+	1061	operon_start_site	gene_sense_leadless	612	7.05	886	6252	TSS
1923753	+	1051	operon_start_site	gap_sense	1032	254.19	35	9151	TSS
1929888	-	958	operon_start_site	gene_sense	790	53.7	142	7679	TSS
1931526	-	114	operon_start_site	gene_sense	96	9.08	100	917	TSS
1933139	-	80	operon_start_site	gene_sense	96	5.12	253	1301	TSS
1933980	-	63	operon_start_site	gap_sense	29	6.02	42	259	TSS
1934806	+	854	operon_start_site	gap_sense	807	5.07	1988	10088	TSS
1936418	+	335	operon_start_site	gene_sense	447	13.02	348	4545	TSS
1937189	+	211	operon_start_site	gene_sense	157	5.54	322	1789	TSS
1938075	+	342	operon_start_site	gene_sense	227	11.52	204	2362	TSS
1939834	+	73	operon_start_site	gene_sense	54	6.83	75	519	TSS
1945370	+	65	operon_start_site	gene_sense	55	3.26	222	726	TSS
1947650	-	137	operon_start_site	gene_sense_leadless	155	24.98	60	1524	TSS
1947767	+	50	operon_start_site	gap_sense	28	2.96	134	399	TSS
1951758	-	190	operon_start_site	gene_sense_leadless	124	44.41	26	1199	TSS
1955003	-	141	operon_start_site	gene_sense	60	2.63	224	592	TSS
1955576	-	85	operon_start_site	gene_sense_leadless	55	11.34	46	533	TSS
1956775	+	438	operon_start_site	gene_antisense	138	65.38	20	1373	TSS
1957364	-	169	operon_start_site	gap_sense	138	650	1	1300	TSS
1959798	-	251	operon_start_site	gene_sense_leadless	148	3.4	561	1910	TSS
1960487	-	531	operon_start_site	gene_sense	212	123.82	10	1362	TSS
1965434	-	687	operon_start_site	gap_sense	265	4.99	600	2998	TSS
1965583	+	2961	operon_start_site	gap_sense	1911	20.64	918	18964	TSS
1967712	+	261	operon_start_site	gene_sense_leadless	226	3.01	1036	3121	TSS
1968973	+	409	operon_start_site	gap_sense	237	9.26	274	2547	TSS
1972145	+	194	operon_start_site	gene_sense_leadless	167	5.32	352	1879	TSS
1972426	-	53	operon_start_site	gene_antisense	34	2.64	190	505	TSS
1973642	+	294	operon_start_site	gene_sense	305	9.44	322	3050	TSS
1976667	+	138	operon_start_site	gene_sense	58	10.1	62	636	TSS
1977881	-	494	operon_start_site	gene_sense	345	80.29	40	3292	TSS
1979755	-	64	operon_start_site	gene_antisense	76	88	3	352	TSS
1979771	+	559	operon_start_site	gene_sense	619	12.62	495	6258	TSS
1985031	-	125	operon_start_site	gene_sense	63	28.05	20	589	TSS
1993219	+	212	operon_start_site	gene_sense	91	5.66	182	1035	TSS
1993447	-	165	operon_start_site	gene_antisense	34	2.78	182	508	TSS
1995876	-	148	operon_start_site	gap_sense	71	4.17	110	463	TSS
1996159	+	36	operon_start_site	gene_sense_leadless	23	3.11	102	320	TSS
1998522	-	127	operon_start_site	gene_sense_leadless	170	4.12	496	2049	TSS
1999717	+	225	operon_start_site	gap_sense	167	4.95	401	1990	TSS
1999776	-	75	operon_start_site	gene_antisense	23	5.66	40	232	TSS
2000567	+	274	operon_start_site	gap_sense	186	2.07	1522	3145	TSS
2002625	+	312	operon_start_site	gap_sense	159	5.99	334	2006	TSS
2003893	+	208	operon_start_site	gene_sense	164	21.67	77	1690	TSS
2006567	+	1486	operon_start_site	gap_sense	1083	19.8	550	10912	TSS
2007773	-	71	operon_start_site	gene_sense_leadless	102	27.66	34	968	TSS
2007794	+	82	operon_start_site	gap_sense	17	14	11	168	TSS
2008937	+	153	operon_start_site	gene_sense	143	7.42	201	1499	TSS
2012650	-	136	operon_start_site	gap_sense	127	3.1	549	1706	TSS
2014510	-	247	operon_start_site	gap_sense	479	2.92	1392	4070	TSS
2014704	+	487	operon_start_site	gap_sense	593	5	1362	6814	TSS
2017608	+	798	operon_start_site	gap_sense	952	4.67	2413	11273	TSS
2024077	+	133	operon_start_site	gene_antisense	97	9.71	103	1010	TSS
2024699	-	58	operon_start_site	gap_sense	52	3.22	205	663	TSS
2026754	+	398	operon_start_site	gene_sense	525	5.04	1179	5951	TSS
2028331	+	100	operon_start_site	gap_sense	184	3.56	674	2403	TSS
2029778	+	1023	operon_start_site	gap_sense	840	19.99	419	8394	TSS
2030684	+	2320	operon_start_site	gap_sense	1071	4.3	2989	12854	TSS
2034627	+	508	operon_start_site	gene_sense	392	11.51	345	3984	TSS
2039121	+	354	operon_start_site	gap_sense	234	10.43	230	2410	TSS
2042031	+	109	operon_start_site	gene_sense	35	6.11	62	385	TSS
2046908	-	132	operon_start_site	gap_sense	75	4.76	179	856	TSS
2047417	-	56	operon_start_site	gap_sense	11	5.18	10	57	TSS
2049902	+	84	operon_start_site	gap_sense	75	6.24	129	811	TSS
2052973	+	701	operon_start_site	gene_sense	1163	7.9	1475	11654	TSS
2055965	+	224	operon_start_site	gene_antisense	85	9.27	96	899	TSS
2056334	-	8218	operon_start_site	gap_sense	6738	3.92	17694	69443	TSS
2057462	+	936	operon_start_site	gap_sense	337	7.12	503	3588	TSS
2062756	-	628	operon_start_site	gap_sense	832	35.17	225	7948	TSS
2064765	-	67	operon_start_site	gap_sense	56	15.49	36	573	TSS
2064806	+	114	operon_start_site	gene_sense_leadless	57	18.52	30	574	TSS
2066554	+	409	operon_start_site	gene_sense	333	24.72	133	3312	TSS
2069087	+	167	operon_start_site	gene_sense_leadless	125	6.12	231	1420	TSS
2071913	+	580	operon_start_site	gene_sense	385	8.36	467	3911	TSS
2072496	+	2083	operon_start_site	gap_sense	1027	1.92	10004	19231	TSS
2073848	+	712	operon_start_site	gap_sense	528	6.39	900	5760	TSS
2074758	+	579	operon_start_site	gap_sense	504	6.38	799	5103	TSS
2075616	+	2285	operon_start_site	gene_sense	1469	11.35	1339	15205	TSS
2079813	-	196	operon_start_site	gap_sense	172	38.88	42	1672	TSS
2079837	+	58	operon_start_site	gene_sense_leadless	82	10.23	87	900	TSS
2087007	-	164	operon_start_site	gap_sense	87	2.08	741	1547	TSS
2087919	-	216	operon_start_site	gene_sense_leadless	296	23.34	119	2801	TSS
2089562	-	70	operon_start_site	gap_sense	45	2.25	324	730	TSS
2096629	-	2077	operon_start_site	gap_sense	1324	6.99	2053	14359	TSS
2096767	+	3064	operon_start_site	gap_sense	2666	11	2496	27473	TSS
2103094	-	243	operon_start_site	gap_sense	219	20.32	103	2113	TSS
2104114	-	365	operon_start_site	gene_sense_leadless	190	4.61	477	2203	TSS
2104906	-	612	operon_start_site	gap_sense	301	74.67	20	1568	TSS
2104910	+	585	operon_start_site	gap_sense	254	33.63	74	2522	TSS
2107330	+	141	operon_start_site	gene_sense	111	1.95	1040	2034	TSS
2109128	+	276	operon_start_site	gap_sense	71	1.96	699	1370	TSS
2109551	+	226	operon_start_site	gene_sense_leadless	108	1.74	1331	2324	TSS
2111369	-	185	operon_start_site	gene_sense	316	8.37	386	3240	TSS
2113027	-	55	operon_start_site	gap_sense	33	2.44	191	469	TSS
2113075	+	65	operon_start_site	gap_sense	53	14.16	37	538	TSS
2115771	+	61	operon_start_site	gene_sense_leadless	40	10.79	37	410	TSS
2117329	+	107	operon_start_site	gap_sense	61	42.64	13	597	TSS
2120734	-	637	operon_start_site	gap_sense	210	8.27	271	2250	TSS
2123158	-	6872	operon_start_site	gene_sense_leadless	6106	713.08	75	54194	TSS
2123192	+	34	operon_start_site	gene_sense	20	2.15	166	359	TSS
2123673	+	128	operon_start_site	gap_sense	86	9.93	89	894	TSS
2124212	+	87	operon_start_site	gene_sense	24	1.79	269	483	TSS
2125236	+	535	operon_start_site	gap_sense	199	1.68	2747	4617	TSS
2127537	+	108	operon_start_site	gene_sense	62	6.6	103	686	TSS
2135908	-	3371	operon_start_site	gap_sense	969	2.48	5895	14596	TSS
2136135	+	986	operon_start_site	gap_sense	1006	16.89	622	10523	TSS
2138134	-	373	operon_start_site	gap_sense	173	8.21	140	1158	TSS
2139718	+	1641	operon_start_site	gap_sense	553	30.57	183	5625	TSS
2141918	-	357	operon_start_site	gap_sense	71	5.06	157	799	TSS
2142390	+	154	operon_start_site	gap_sense	186	10.92	171	1878	TSS
2144889	-	92	operon_start_site	gene_sense_leadless	81	22.11	35	796	TSS
2144947	+	354	operon_start_site	gene_sense_leadless	198	10.67	191	2049	TSS
2146841	-	393	operon_start_site	gene_sense	327	35.17	82	2919	TSS
2147675	+	293	operon_start_site	gene_sense	240	8.21	317	2611	TSS
2148405	-	599	operon_start_site	gene_antisense	550	165.14	27	4624	TSS
2150371	+	211	operon_start_site	gene_sense_leadless	131	72.11	17	1298	TSS
2150841	+	1907	operon_start_site	gap_sense	1189	7.78	1644	12802	TSS
2152903	-	761	operon_start_site	gap_sense	514	59.89	75	4552	TSS
2156599	-	536	operon_start_site	gene_sense_leadless	139	28.74	45	1322	TSS
2158089	-	519	operon_start_site	gap_sense	386	8.39	430	3617	TSS
2159141	-	179	operon_start_site	gap_sense	80	24.23	30	751	TSS
2159198	+	67	operon_start_site	gene_sense_leadless	38	3.33	152	510	TSS
2160300	-	178	operon_start_site	gene_sense	158	847	0	847	TSS
2160434	+	868	operon_start_site	gap_sense	377	1.78	4447	7908	TSS
2171576	-	788	operon_start_site	gap_sense	613	13.29	471	6271	TSS
2171669	+	204	operon_start_site	gene_sense	124	10.87	123	1348	TSS
2174072	+	120	operon_start_site	gap_sense	80	4.02	244	985	TSS
2175240	+	264	operon_start_site	gene_sense	173	24.69	69	1728	TSS
2176995	-	301	operon_start_site	gap_sense	203	6.56	313	2060	TSS
2177094	+	2965	operon_start_site	gene_sense_leadless	2538	22.78	1107	25243	TSS
2179498	-	910	operon_start_site	gap_sense	277	110.54	23	2653	TSS
2179680	+	106	operon_start_site	gene_sense_leadless	97	6.61	171	1137	TSS
2181913	-	57	operon_start_site	gene_sense_leadless	46	219	1	438	TSS
2183379	+	1170	operon_start_site	gene_sense_leadless	675	5.66	1201	6803	TSS
2187330	+	87	operon_start_site	gap_sense	35	4.81	74	361	TSS
2193624	+	152	operon_start_site	gene_sense	133	10.5	125	1323	TSS
2195213	-	896	operon_start_site	gene_sense	1127	63.92	167	10738	TSS
2195996	+	68	operon_start_site	gene_sense_leadless	102	6.08	191	1167	TSS
2197695	+	352	operon_start_site	gene_antisense	206	15.24	135	2072	TSS
2200494	-	256	operon_start_site	gap_sense	274	45.84	54	2521	TSS
2200720	+	250	operon_start_site	gap_sense	294	8.62	351	3034	TSS
2201255	+	1638	operon_start_site	gene_antisense	6717	19.15	3551	68033	TSS
2204232	-	520	operon_start_site	gene_antisense	724	62.41	109	6865	TSS
2205556	-	199	operon_start_site	gene_sense_leadless	192	15.63	121	1907	TSS
2206875	-	106	operon_start_site	gap_sense	60	3.68	201	744	TSS
2207622	+	68	operon_start_site	gap_sense	53	6.91	85	594	TSS
2219259	-	151	operon_start_site	gene_sense_leadless	131	3.77	412	1555	TSS
2219567	+	203	operon_start_site	gap_sense	149	19.32	77	1507	TSS
2220888	+	215	operon_start_site	gap_sense	90	6.01	166	1003	TSS
2224157	-	1134	operon_start_site	gap_sense	675	10.49	642	6746	TSS
2225334	-	444	operon_start_site	gap_sense	307	3.72	683	2544	TSS
2226109	-	321	operon_start_site	gene_sense_leadless	307	25.11	113	2863	TSS
2226219	+	207	operon_start_site	gap_sense	157	13.77	117	1625	TSS
2228574	-	398	operon_start_site	gap_sense	393	10.39	175	1829	TSS
2228684	+	156	operon_start_site	gene_sense_leadless	148	28.79	51	1497	TSS
2229947	-	62	operon_start_site	gap_sense	50	8.57	66	574	TSS
2230019	+	210	operon_start_site	gene_sense_leadless	93	1.9	984	1868	TSS
2231034	+	1220	operon_start_site	gene_sense_leadless	893	16.93	525	8904	TSS
2231660	+	1428	operon_start_site	gap_sense	749	2.34	5089	11932	TSS
2233677	-	649	operon_start_site	gap_sense	371	21.05	150	3179	TSS
2237992	-	178	operon_start_site	gene_sense_leadless	239	8.6	289	2494	TSS
2238119	+	128	operon_start_site	gap_sense	99	7.97	124	996	TSS
2238989	+	490	operon_start_site	gap_sense	430	18.59	232	4331	TSS
2243756	-	501	operon_start_site	gap_sense	83	6.51	100	658	TSS
2245148	-	175	operon_start_site	gap_sense	171	25.6	62	1613	TSS
2245291	+	51	operon_start_site	gene_sense	38	3.18	167	534	TSS
2252034	+	28	operon_start_site	gene_sense	17	3.79	57	220	TSS
2254139	-	901	operon_start_site	gene_antisense	420	38.6	101	3937	TSS
2256436	-	6433	operon_start_site	gene_sense_leadless	3355	14.25	2345	33437	TSS
2258053	+	924	operon_start_site	gene_sense	867	23.69	359	8530	TSS
2259308	-	68	operon_start_site	gap_sense	59	49.73	10	547	TSS
2259342	+	46	operon_start_site	gene_sense	49	10.82	38	422	TSS
2263080	-	123	operon_start_site	gene_sense_leadless	139	13.22	105	1401	TSS
2263398	+	193	operon_start_site	gap_sense	192	19.76	96	1917	TSS
2267510	-	185	operon_start_site	gene_sense	322	5.19	703	3651	TSS
2270248	-	88	operon_start_site	gene_sense_leadless	40	3.41	147	505	TSS
2278969	-	1260	operon_start_site	gap_sense	7510	301.29	234	70804	TSS
2279113	+	525	operon_start_site	gap_sense	463	17.31	270	4690	TSS
2281090	-	201	operon_start_site	gene_sense_leadless	224	42.39	50	2162	TSS
2281302	+	151	operon_start_site	gene_sense_leadless	202	13.59	147	2011	TSS
