new_tss	direction	original_average_count
3626316	+	26
3627423	+	20
3628625	+	28
3629259	+	19
3629716	+	26
3630887	+	19
3631097	+	41
3632060	+	197
3632703	+	22
3632882	+	99
3633636	+	140
3633698	+	53
3635989	+	52
3637858	+	47
3638929	+	15
3639252	+	29
3639338	+	144
3640203	+	46
3640306	+	39
3640440	+	67
3640540	+	184
3641402	+	26
3641829	+	28
3642910	+	31
3643246	+	53
3644065	+	101
3645939	+	166
3646299	+	45
3647885	+	706
3648773	+	40
3648815	+	49
3649465	+	559
3650185	+	1440
3651695	+	70
3653413	+	323
3654733	+	37
3659990	+	26
3660022	+	575
3661190	+	16
3662059	+	804
3662973	+	405
3664925	+	598
3665466	+	93
3666297	+	171
3669588	+	32
3669959	+	98
3670301	+	63
3670797	+	69
3671654	+	19
3671810	+	19
3671862	+	56
3672036	+	157
3672058	+	172
3673045	+	15
3676063	+	656
3676772	+	59
3677343	+	48
3678220	+	29
3684303	+	32
3684809	+	27
3687689	+	96
3688405	+	261
3688984	+	35
3690854	+	231
3691312	+	259
3692044	+	83
3693879	+	53
3694170	+	37
3694223	+	414
3696697	+	39
3697369	+	377
3698292	+	113
3699524	+	11
3700595	+	84
3703084	+	44
3703390	+	156
3704155	+	430
3708684	+	26
3708699	+	17
3709448	+	41
3709753	+	19
3710604	+	32
3711153	+	31
3711846	+	67
3714479	+	261
3715947	+	170
3717289	+	344
3717731	+	129
3720699	+	26
3721403	+	478
3722829	+	42
3723237	+	15
3723559	+	21
3723899	+	742
3725923	+	30
3726006	+	22
3726142	+	462
3730120	+	22
3730162	+	399
3733512	+	41
3735730	+	62
3743148	+	54
3744491	+	17
3744554	+	54
3744908	+	72
3744923	+	114
3746014	+	31
3746285	+	16
3747785	+	23
3747845	+	21
3748022	+	46
3750007	+	67
3750242	+	40
3753503	+	16
3753559	+	377
3755648	+	49
3755886	+	50
3755940	+	69
3760212	+	38
3760348	+	65
3762160	+	77
3762231	+	304
3763863	+	51
3765736	+	141
3767628	+	73
3769282	+	363
3770804	+	32
3770909	+	87
3771515	+	35
3772821	+	78
3774509	+	16
3775551	+	59
3776152	+	316
3777427	+	47
3777748	+	123
3778692	+	690
3781182	+	227
3783563	+	107
3785082	+	472
3786494	+	131
3787704	+	40
3787849	+	259
3790215	+	51
3790307	+	1041
3791387	+	65
3792245	+	22
3792481	+	29
3793379	+	27
3794626	+	28
3795603	+	47
3797088	+	162
3798409	+	178
3799314	+	45
3799742	+	23
3800168	+	38
3800239	+	35
3801815	+	37
3805045	+	339
3805736	+	35
3805800	+	104
3806224	+	195
3807546	+	20
3807947	+	20
3808641	+	103
3811899	+	23
3815716	+	24
3816358	+	34
3816368	+	123
3817117	+	22
3817400	+	458
3818222	+	46
3821899	+	36
3822006	+	46
3822213	+	26
3823963	+	37
3824414	+	29
3824522	+	25
3824587	+	105
3825467	+	23
3826453	+	3769
3827618	+	29
3828719	+	25
3830045	+	257
3831906	+	1930
3833614	+	19
3834489	+	25
3834971	+	828
3835541	+	40
3836513	+	19
3836801	+	30
3837663	+	23
3838836	+	54
3839496	+	20
3841746	+	75
3841849	+	426
3844847	+	48
3846777	+	315
3847394	+	29
3847451	+	60
3847468	+	437
3847920	+	35
3850096	+	27
3850504	+	69
3851786	+	34
3852771	+	45
3854001	+	20
3856030	+	36
3856712	+	19
3857100	+	95
3857140	+	106
3857577	+	172
3865796	+	15
3866873	+	23
3868057	+	30
3869284	+	68
3870285	+	33
3872796	+	262
3873616	+	87
3874419	+	200
3875027	+	105
3877612	+	164
3878849	+	55
3879758	+	36
3880699	+	29
3880827	+	29
3881086	+	153
3881681	+	71
3882016	+	479
3883704	+	46
3883845	+	50
3885338	+	46
3886347	+	17
3888708	+	27
3889281	+	28
3889549	+	114
3891009	+	32
3891558	+	28
3892251	+	94
3892575	+	37
3892640	+	65
3893419	+	28
3893795	+	21
3894137	+	5229
3894922	+	449
3895858	+	56
3896843	+	37
3898143	+	94
3900071	+	24
3902256	+	25
3902477	+	89
3903045	+	124
3903184	+	1018
3905876	+	210
3906679	+	14
3907816	+	183
3908251	+	3224
3909522	+	85
3910044	+	765
3913598	+	37
3913769	+	347
3914244	+	67
3914803	+	40
3916298	+	133
3917422	+	30
3918805	+	28
3920847	+	20
3922552	+	72
3922636	+	43
3924024	+	25
3924042	+	87
3924858	+	67
3926683	+	251
3931026	+	161
3931129	+	340
3933928	+	53
3936899	+	222
3938146	+	24
3939737	+	166
3945914	+	63
3950298	+	22
3950600	+	37
3951909	+	20
3952547	+	36
3952678	+	134
3953207	+	50
3953609	+	23
3954900	+	35
3955729	+	778
3957038	+	24
3957606	+	54
3958275	+	148
3959699	+	31
3960209	+	452
3961005	+	1362
3961645	+	49
3962590	+	700
3964306	+	64
3965484	+	89
3968328	+	517
3968802	+	295
3969727	+	23
3969753	+	39
3970530	+	121
3975548	+	48
3976648	+	20
3976944	+	19
3978182	+	76
3979351	+	29
3979827	+	71
3981725	+	57
3982777	+	137
3984471	+	31
3984563	+	57
3985537	+	45
3985736	+	63
3986920	+	29
3986978	+	41
3987023	+	602
3989296	+	282
3992900	+	87
3994468	+	14
3995411	+	57
3995797	+	191
3997442	+	52
3998078	+	23
3998098	+	46
3999269	+	39
3999776	+	36
3999851	+	30
4001789	+	182
4003315	+	24
4003491	+	26
4007845	+	21
4009855	+	123
4012448	+	73
4012574	+	86
4013181	+	59
4013657	+	304
4014670	+	29
4015491	+	19
4016467	+	271
4018513	+	269
4019589	+	32
4020539	+	18
4022161	+	348
4023044	+	61
4024633	+	59
4025728	+	29
4025962	+	736
4026623	+	284
4027459	+	43
4028071	+	34
4029153	+	36
4030034	+	43
4030500	+	18
4030637	+	208
4034236	+	2034
4035893	+	30
4035969	+	75
4041390	+	18
4042158	+	32
4043273	+	24
4045359	+	11
4046008	+	33
4048124	+	144
4048759	+	353
4052867	+	71
4053045	+	71
4056021	+	39
4056454	+	69
4056650	+	61
4056780	+	72
4056889	+	83
4057660	+	19
4057912	+	69
4058500	+	259
4059513	+	19
4060364	+	16
4062393	+	36
4062521	+	54
4062706	+	180
4063495	+	62
4066201	+	18
4066449	+	60
4067213	+	24
4067547	+	444
4068009	+	70
4068427	+	15
4069267	+	17
4069337	+	392
4070691	+	100
4071859	+	6240
4073225	+	118
4073755	+	55
4074133	+	62
4074990	+	15
4075846	+	97
4075866	+	182
4078048	+	30
4079604	+	25
4079922	+	50
4081548	+	38
4083046	+	546
4085363	+	47
4085519	+	47
4086635	+	36
4087194	+	20
4087261	+	23
4088829	+	30
4090878	+	26
4091347	+	24
4092020	+	233
4092250	+	239
4093117	+	112
4093745	+	116
4094834	+	59
4099674	+	81
4099825	+	323
4100829	+	35
4100849	+	245
4100862	+	125035
4102839	+	73
4105427	+	28
4105817	+	565
4106415	+	94
4107518	+	30
4107857	+	53
4107970	+	141
4110520	+	112
4110841	+	171
4110956	+	331
4115301	+	57
4115336	+	48
4115348	+	47
4115941	+	27
4116195	+	997
4116568	+	660
4116601	+	965
4118663	+	347
4118957	+	385
4119431	+	4954
4120297	+	148
4122047	+	39
4122094	+	920
4124317	+	185
4124595	+	472
4126711	+	123
4129661	+	26
4129959	+	17
4130596	+	237
4130623	+	136
4133839	+	31
4137010	+	23
4137111	+	59
4137384	+	288
4139598	+	220
4139609	+	296
4139928	+	256
4140728	+	44
4141315	+	22
4141515	+	66
4142222	+	314
4146982	+	18
4147411	+	13
4147623	+	49
4149108	+	18
4152633	+	75
4153001	+	38
4153690	+	30
4153708	+	32
4153798	+	1475
4155878	+	59
4157149	+	29
4157159	+	106
4161190	+	508
4162520	+	556
4163005	+	42
4163428	+	31
4163519	+	80
4163825	+	30
4164865	+	21
4166566	+	33
4167843	+	35
4168523	+	377
4169620	+	576
4170407	+	321
4170917	+	447
4171504	+	172
4173020	+	17
4174330	+	21
4174343	+	76
4176191	+	71
4178277	+	194
4178427	+	78
4180221	+	28
4180807	+	31
4181936	+	56
4182536	+	52
4183017	+	62
4183112	+	320
4185203	+	37
4186067	+	81
4186258	+	253
4186812	+	29
4187644	+	79
4187864	+	134
4187876	+	60
4189992	+	326
4190037	+	298
4190975	+	250
4191377	+	283
4191968	+	18
4192248	+	282
4192958	+	37
4193038	+	365
4193653	+	39
4194787	+	60
4195618	+	408
4196902	+	753
4197824	+	18
4198590	+	23
4198850	+	62
4200533	+	132
4201250	+	46
4201509	+	68
4201842	+	41
4203235	+	23
4204419	+	45
4205271	+	33
4205575	+	35
4205665	+	326
4206326	+	37
4206481	+	58
4206962	+	32
4207851	+	31
4209177	+	423
4209546	+	721
4212305	+	443
4213521	+	27
4214219	+	107
4214793	+	767
4217312	+	155
4219013	+	47
4219027	+	530
4221267	+	77
4222881	+	142
4225163	+	181
4225192	+	27
4226089	+	51
4227026	+	33
4227076	+	252
4228439	+	49
4228839	+	1331
4230394	+	49
4230790	+	33
4231455	+	223
4232484	+	18
4233420	+	75
4234706	+	59
4234831	+	156
4234855	+	299
4235488	+	171
4235956	+	122
4237895	+	37
4240095	+	53
4240902	+	32
4243131	+	17
4243411	+	163
4244937	+	27
4246753	+	12
4246811	+	20
4248257	+	29
4249228	+	84
4250068	+	52
4250701	+	37
4251140	+	93
4251263	+	73
4253510	+	168
4263550	+	123
4264872	+	58
4265671	+	30
4266897	+	31
4267545	+	25
4267959	+	33
4269245	+	15
4271414	+	20
4271576	+	17
4271713	+	153
4272602	+	31
4272682	+	576
4273838	+	1901
4274934	+	655
4275729	+	305
4276116	+	22
4276703	+	57
4277470	+	53
4278316	+	19
4279954	+	16
4280078	+	24
4281513	+	252
4282591	+	349
4282790	+	55
4284251	+	49
4284942	+	188
4285385	+	97
4285524	+	70
4286060	+	238
4286151	+	396
4286525	+	533
4286959	+	1683
4287576	+	80
4288907	+	13
4289000	+	22
4290738	+	39
4291493	+	79
4291831	+	21
4292423	+	29
4293582	+	42
4293727	+	53
4294468	+	21
4294785	+	32
4295472	+	24
4295950	+	86
4297063	+	41
4298126	+	19
4299218	+	22
4299346	+	37
4299990	+	232
4301690	+	24
4302206	+	57
4304404	+	57
4305778	+	59
4305935	+	148
4306674	+	31
4307043	+	101
4308503	+	38
4309224	+	140
4310976	+	38
4310986	+	100
4312921	+	410
4313350	+	30
4313788	+	52
4314277	+	21
4314356	+	9259
4315670	+	44
4316235	+	32
4316773	+	23
4317250	+	849
4318517	+	18
4318576	+	371
4320729	+	210
4320797	+	359
4321653	+	261
4321672	+	647
4322353	+	415
4323534	+	524
4323626	+	633
4325202	+	747
4326351	+	33
4327727	+	581
4328342	+	202
4331602	+	19
4332456	+	27
4332973	+	44
4335254	+	51
4336373	+	171
4337464	+	35
4337691	+	26
4338892	+	318
4339036	+	275
4339318	+	172
4340387	+	1143
4341725	+	646
4342753	+	1040
4343471	+	263
4345217	+	731
4346059	+	22
4349907	+	183
4350396	+	57
4350790	+	644
4352380	+	164
4352405	+	34
4352443	+	124
4353105	+	271
4354170	+	25
4355329	+	20
4355692	+	48
4355730	+	34
4356843	+	467
4358610	+	58
4360194	+	32
4362157	+	44
4363534	+	205
4364281	+	16
4364562	+	44
4364821	+	84
4365004	+	62
4365471	+	188
4369915	+	141
4370158	+	46
4370262	+	49
4372908	+	59
4373014	+	70
4373099	+	298
4374192	+	114
4377098	+	47
4377853	+	80
4378639	+	21
4381881	+	29
4382521	+	24
4383199	+	22
4383293	+	32
4384105	+	71
4384306	+	139
4386581	+	202
4387176	+	33
4387652	+	47
4388351	+	37
4388762	+	41
4392450	+	19
4393368	+	408
4393627	+	395
4394157	+	126
4396067	+	28
4396371	+	34
4396791	+	42
4397695	+	22
4398521	+	315
4400273	+	39
4400616	+	78
4400986	+	100
4401819	+	36
4401867	+	144
4402882	+	27
4403319	+	1262
4404750	+	137
4405434	+	30
4407646	+	14
4409469	+	16
4409651	+	32
4409865	+	20
4410427	+	18
4410810	+	21
345	-	28
437	-	31
1267	-	162
1774	-	26
1991	-	56
2309	-	199
3056	-	69
6274	-	25
7254	-	33
8207	-	315
8328	-	23
9494	-	26
11188	-	50
11693	-	29
12303	-	32
12366	-	66
12518	-	29
12887	-	31
13597	-	34
14085	-	404
15704	-	39
17534	-	75
19032	-	724
19138	-	40
19826	-	181
20181	-	28
20659	-	32
21406	-	90
22570	-	40
23087	-	173
23370	-	120
23800	-	149
24124	-	204
24270	-	126
25011	-	217
25515	-	1097
25719	-	69
26181	-	95
26921	-	69
30183	-	350
31967	-	301
33047	-	59
33792	-	77
34152	-	87
34667	-	28
37934	-	49
37955	-	34
38086	-	35
38592	-	42
39867	-	307
40001	-	40
41234	-	279
41905	-	41
42351	-	322
42840	-	75
43413	-	441
43419	-	34
43622	-	61
45647	-	150
46423	-	150
47084	-	163
47092	-	39
48141	-	59
49027	-	76
49939	-	105
50014	-	134
50792	-	28
51782	-	3726
51899	-	27
52701	-	130
52832	-	28
57601	-	34
63562	-	97
64300	-	23
65539	-	3046
68778	-	36
70713	-	30
71025	-	24
72702	-	29
73407	-	50
74565	-	421
75277	-	58
79310	-	1611
80337	-	254
80402	-	157
80416	-	50
80506	-	29
81095	-	58
81435	-	29
81830	-	109
81884	-	73
82346	-	37
84827	-	25
85560	-	105
86499	-	147
88001	-	3308
89155	-	64
89504	-	44
95956	-	18
96631	-	73
97321	-	73
97879	-	46
99833	-	19
103522	-	95
103590	-	13
105099	-	33
105174	-	22
105720	-	28
107019	-	20
107721	-	31
108466	-	24
108961	-	14
110560	-	2575
111720	-	37
112259	-	141
112892	-	165
113213	-	42
114237	-	25
116084	-	17
117504	-	58
117608	-	82
118095	-	14
118770	-	38
119444	-	25
120296	-	80
122196	-	403
123207	-	506
123228	-	40
124312	-	139
124339	-	16
125604	-	36
130564	-	162
131125	-	4222
131343	-	17
134379	-	43
134474	-	13
134978	-	69
135466	-	71
137691	-	114
138603	-	28
141052	-	466
143874	-	105
146306	-	80
146371	-	23
147828	-	64
147831	-	124
148344	-	74
149535	-	118
151127	-	106
151473	-	35
154064	-	46
154378	-	22
154975	-	46
155851	-	49
157655	-	2106
159668	-	186
160098	-	28
160814	-	30
162751	-	37
163187	-	145
163314	-	506
163517	-	34
163809	-	35
164386	-	26
165269	-	338
165291	-	101
165656	-	20
166661	-	77
167682	-	545
169303	-	214
169341	-	196
170126	-	97
170550	-	31
170807	-	27
171164	-	37
171193	-	13
173150	-	16
177179	-	40
177596	-	104
178268	-	21
179243	-	33
180274	-	19
181024	-	38
182238	-	33
183208	-	237
185076	-	35
185197	-	29
186649	-	1207
188118	-	33
188862	-	66
189660	-	27
190512	-	24
192866	-	81
193101	-	46
193356	-	52
194914	-	196
194929	-	204
195879	-	32
196215	-	32
196284	-	29
197082	-	156
198210	-	30
198795	-	66
199503	-	214
199955	-	22
200277	-	68
201025	-	102
201673	-	115
202826	-	131
202927	-	49
203047	-	45
203411	-	30
204679	-	32
205423	-	57
206608	-	41
208733	-	44
209440	-	57
210815	-	716
211439	-	54
212270	-	120
214024	-	295
214079	-	28
214578	-	35
217115	-	32
218607	-	4800
218612	-	4654
219743	-	97
219902	-	38
220053	-	67
221721	-	381
221734	-	40
221862	-	32
222390	-	48
222928	-	37
223632	-	42
223637	-	26
223650	-	39
224415	-	38
225016	-	102
225495	-	25
225828	-	20
226621	-	67
226993	-	44
228184	-	35
229374	-	18
229547	-	24
229715	-	46
230441	-	30
231273	-	49
233266	-	21
235242	-	41
235660	-	23
236507	-	292
236667	-	140
236681	-	158
236760	-	62
238559	-	327
238610	-	232
238897	-	2086
239382	-	31
240723	-	82
241335	-	224
243214	-	444
247525	-	373
248115	-	55
248471	-	56
248888	-	279
249005	-	31
249393	-	18
251618	-	30
251673	-	22
254040	-	23
254666	-	84
254711	-	16
255088	-	30
255316	-	35
256070	-	61
257362	-	28
257576	-	26
258039	-	125
258884	-	117
259913	-	13
260831	-	46
261423	-	67
262482	-	25
264508	-	29
267814	-	35
268631	-	128
270977	-	31
271804	-	39
273041	-	59
273450	-	20
274904	-	603
275181	-	24
275963	-	137
276070	-	18
277453	-	81
277516	-	24
277750	-	30
278396	-	37
278754	-	37
281017	-	191
282641	-	21
285187	-	24
287108	-	3337
287116	-	1179
287147	-	19
292075	-	49
292086	-	818
292097	-	47
292116	-	28
292386	-	47
295712	-	270
296563	-	77
297356	-	22
297825	-	29
298150	-	85
299196	-	26
299291	-	37
300967	-	64
301301	-	135
301683	-	578
302054	-	430
302068	-	763
302710	-	2951
303295	-	27
303433	-	36
304515	-	29
305537	-	29
306331	-	30
306349	-	65
306924	-	45
308922	-	26
309839	-	299
310264	-	65
310749	-	83
311086	-	21
311302	-	34
312661	-	35
314194	-	23
314854	-	109
315170	-	27
316439	-	402
317503	-	120
317951	-	131
318137	-	97
320615	-	35
321350	-	82
323281	-	524
323299	-	114
323304	-	40
324525	-	107
325232	-	33
326612	-	28
327007	-	40
328499	-	245
329719	-	157
330350	-	76
331662	-	112
331693	-	615
333421	-	4652
336380	-	38
338182	-	149
339143	-	110
339184	-	47
340043	-	77
341956	-	591
342006	-	423
342075	-	106
342088	-	55
342281	-	27
344287	-	21
345149	-	24
345941	-	184
346676	-	20
347514	-	43
348154	-	14
349540	-	36
350251	-	19
350810	-	18
353113	-	28
358074	-	164
358294	-	61
358875	-	61
359748	-	86
360546	-	29
361200	-	87
363401	-	30
363785	-	27
364370	-	42
364650	-	30
365723	-	19
366176	-	26
368278	-	19
368446	-	30
369131	-	21
369992	-	35
370289	-	30
373381	-	16
373788	-	61
375749	-	264
377060	-	128
377068	-	55
377875	-	26
379130	-	69
379761	-	17
381981	-	40
383514	-	280
383525	-	77
383530	-	235
383587	-	35
384870	-	68
384877	-	19
385967	-	207
386252	-	61
386282	-	77
387073	-	78
387495	-	57
387859	-	16
389141	-	20
391322	-	44
391361	-	84
392046	-	34
394080	-	22
396091	-	83
396097	-	24
396850	-	43
400098	-	49
401305	-	39
402908	-	100
403135	-	138
404306	-	85
405887	-	1730
407633	-	38
408465	-	377
408727	-	34
410676	-	47
410954	-	96
411160	-	20
411611	-	49
412280	-	37
414972	-	108
417026	-	477
417614	-	18
418889	-	206
419327	-	19
419783	-	184
420159	-	38
420927	-	42
421435	-	37
424778	-	28
427931	-	46
429097	-	27
431487	-	23
434039	-	43
434763	-	162
435041	-	28
436826	-	186
438716	-	84
439789	-	84
440605	-	20
442326	-	717
442714	-	29
444198	-	22
444242	-	27
445260	-	268
446988	-	48
447160	-	24
447937	-	33
449746	-	26
453198	-	40
454397	-	50
455973	-	24
459317	-	1234
459783	-	26
462023	-	96
462042	-	187
462075	-	84
462112	-	33
462997	-	50
465032	-	52
465287	-	21
466011	-	50
467081	-	26
468247	-	93
469567	-	28
470921	-	27
472647	-	45
472672	-	106
474380	-	249
474844	-	55
476130	-	78
477385	-	28
479756	-	153
482270	-	49
483128	-	187
483379	-	65
483785	-	56
484480	-	73
484953	-	102
485099	-	107
489582	-	20
490648	-	66
490797	-	37
491817	-	23
492862	-	21
493231	-	27
495006	-	29
496611	-	17
498875	-	137
499666	-	296
499731	-	29
501021	-	43
502753	-	72
502793	-	28
502863	-	14
504854	-	67
505581	-	36
505679	-	24
507043	-	114
508103	-	32
510325	-	352
510572	-	59
510593	-	41
513200	-	198
513215	-	231
515861	-	915
515937	-	673
516899	-	58
518404	-	86
518405	-	64
519398	-	28
519580	-	26
520530	-	35
522222	-	53
524299	-	34
524846	-	35
526089	-	243
527363	-	89
528317	-	116
528410	-	40
530727	-	261
531283	-	46
532217	-	71
532309	-	49
532561	-	45
533111	-	35
534400	-	245
534751	-	34
535483	-	511
535674	-	83
537882	-	43
538553	-	558
538948	-	157
539344	-	31
540847	-	35
541650	-	93
542018	-	389
542070	-	196
542102	-	69
543569	-	27
544730	-	38
545235	-	138
545829	-	1127
546806	-	40
547484	-	109
548248	-	126
549610	-	63
550773	-	32
552212	-	591
552312	-	30
553523	-	59
554631	-	83
555124	-	732
555125	-	273
556309	-	146
556667	-	31
558552	-	51
558808	-	19
559751	-	93
559892	-	64
561790	-	788
562716	-	192
563455	-	627
563526	-	87
567361	-	23
568970	-	791
569226	-	293
569809	-	51
570515	-	126
570814	-	65
571594	-	62
571738	-	16
572736	-	42
573808	-	174
573831	-	24
574282	-	75
575341	-	24
582143	-	20
582780	-	65
583716	-	15
584685	-	67
586221	-	484
586710	-	25
587761	-	63
588147	-	88
588650	-	53
590422	-	27
590807	-	76
590985	-	30
591022	-	27
592282	-	175
592678	-	31
593129	-	43
593869	-	52
594782	-	480
595456	-	254
595462	-	21
596096	-	38
596436	-	64
596634	-	47
596645	-	21
596682	-	25
597234	-	23
600379	-	35
600503	-	51
601339	-	116
601368	-	22
607667	-	56
608591	-	2176
609334	-	27
609768	-	31
610216	-	39
611072	-	258
612027	-	108
613326	-	47
613447	-	32
614013	-	97
614035	-	29
614727	-	146
615064	-	14
616267	-	66
617904	-	30
622300	-	1232
624628	-	25
625500	-	40
625554	-	70
626443	-	156
629967	-	64
631943	-	1072
634407	-	55
635927	-	508
637545	-	1294
637972	-	197
638391	-	104
638919	-	166
639982	-	446
640098	-	28
640864	-	371
642814	-	59
643581	-	50
643832	-	41
644057	-	12
644837	-	52
645685	-	37
649752	-	64
650748	-	1232
651459	-	129
651715	-	24
652752	-	89
654918	-	31
655956	-	118
658075	-	193
658088	-	40
659055	-	35
660728	-	28
662186	-	27
662925	-	23
664915	-	321
665415	-	165
665820	-	345
666166	-	79
668430	-	33
668458	-	577
669751	-	54
669768	-	30
670142	-	58
671160	-	57
676034	-	1754
677619	-	476
679123	-	187
679149	-	85
679517	-	32
679660	-	28
680496	-	194
681051	-	46
681745	-	19
682526	-	88
682745	-	39
684331	-	49
685355	-	28
685659	-	20
685915	-	60
686449	-	22
689179	-	22
691362	-	36
692260	-	144
692510	-	131
692990	-	25
694385	-	42
695488	-	159
697806	-	746
699738	-	32
701339	-	100
702764	-	21
702998	-	18
703657	-	18
704906	-	77
706246	-	1426
706252	-	294
709524	-	282
711815	-	18
715935	-	30
716391	-	29
717055	-	20
717702	-	115
717899	-	78
719915	-	153
720017	-	277
720707	-	22
721228	-	55
728311	-	34
729281	-	964
729513	-	271
730166	-	147
731036	-	347
731181	-	321
731521	-	27
732635	-	188
732813	-	46
734416	-	49
734847	-	15
735501	-	23
737259	-	1115
737265	-	160
737684	-	152
738193	-	420
739252	-	149
739424	-	36
740208	-	210
740455	-	33
741092	-	33
742500	-	342
744963	-	29
749933	-	31
750345	-	13
750927	-	41
751526	-	30
753088	-	25
753646	-	156
754412	-	50
755239	-	1557
755252	-	13
756021	-	27
758639	-	235
760259	-	13
767556	-	38
768316	-	17
769655	-	114
769673	-	54
771464	-	39
773233	-	26
778968	-	2179
779798	-	30
780477	-	707
782387	-	17
784723	-	84
784782	-	21
787047	-	36
788638	-	49
790618	-	37
791275	-	1180
791700	-	63
794003	-	24
794163	-	23
795039	-	62
795775	-	22
798106	-	22
798653	-	69
799224	-	114
799321	-	36
802184	-	32
802573	-	31
802783	-	37
803703	-	63
805646	-	61
806739	-	28
807833	-	37
809440	-	16
810251	-	28
810575	-	22
811177	-	34
813487	-	13
814979	-	79
816471	-	56
816838	-	44
818514	-	36
819015	-	39
819677	-	201
819879	-	27
821479	-	53
822617	-	29
823123	-	28
824698	-	53
825476	-	20
825893	-	52
826043	-	40
826592	-	43
828230	-	23
831606	-	29
831998	-	26
832405	-	32
832839	-	39
834949	-	254
835634	-	22
841335	-	12
841919	-	220
843351	-	100
843803	-	25
844414	-	33
844838	-	35
846002	-	287
847866	-	23
848300	-	31
850076	-	375
850508	-	424
850530	-	18
850851	-	82
851469	-	134
851741	-	217
852691	-	137
854229	-	143
854299	-	48
855898	-	720
856453	-	40
856751	-	29
859481	-	19
859984	-	71
860713	-	76
862860	-	30
864381	-	31
866595	-	52
868342	-	190
868347	-	104
869766	-	32
870359	-	30
870705	-	34
872105	-	168
873292	-	39
874167	-	52
874774	-	33
875487	-	24
876110	-	35
876380	-	29
876454	-	30
877394	-	24
878431	-	390
881716	-	71
882390	-	477
883929	-	93
886649	-	293
886882	-	38
887874	-	29
888665	-	78
890013	-	45
890383	-	31
891002	-	42
893270	-	181
895521	-	78
895602	-	56
895631	-	49
895862	-	27
897248	-	27
899980	-	70
901374	-	94
901435	-	90
901620	-	19
903379	-	50
903560	-	25
904210	-	205
905166	-	3547
905176	-	28
906343	-	270
908120	-	630
908551	-	228
909584	-	587
910038	-	48
910839	-	50
912365	-	36
912607	-	45
912716	-	39
912799	-	35
914202	-	1055
916427	-	132
917238	-	26
917928	-	425
918779	-	3008
918783	-	6610
919639	-	177
919862	-	15
921141	-	368
921444	-	31
921967	-	26
922978	-	39
923712	-	945
923882	-	23
927926	-	144
930529	-	514
932153	-	56
932177	-	71
933139	-	12
934034	-	20
937346	-	31
938242	-	2678
939943	-	60
941123	-	217
941447	-	44
941664	-	37
942681	-	26
943079	-	18
944227	-	26
944292	-	433
944305	-	67
945297	-	25
946695	-	45
946719	-	33
946788	-	19
948471	-	211
949004	-	30
949764	-	23
950592	-	37
951125	-	111
952632	-	24
954927	-	51
958798	-	36
960340	-	160
960563	-	23
961383	-	17
962616	-	61
965809	-	2294
967756	-	429
967757	-	404
970285	-	969
973067	-	69
973709	-	77
974671	-	25
975973	-	130
976089	-	14
976938	-	33
978764	-	497
978765	-	133
980222	-	21
980365	-	16
981314	-	835
982557	-	319
983654	-	203
984240	-	27
984816	-	17
985837	-	21
986026	-	30
986510	-	31
986657	-	19
987164	-	60
987421	-	46
988279	-	241
989869	-	194
989893	-	68
992195	-	22
993021	-	289
993322	-	205
993742	-	83
993785	-	24
995126	-	41
995277	-	24
996298	-	117
997353	-	110
997713	-	199
998878	-	23
999337	-	38
1000146	-	35
1000406	-	50
1002707	-	418
1002870	-	73
1003384	-	25
1003522	-	14
1006556	-	624
1007575	-	75
1007595	-	38
1008184	-	48
1008294	-	60
1010193	-	21
1014639	-	132
1015913	-	24
1016508	-	60
1017033	-	15
1017582	-	53
1019459	-	19
1019969	-	146
1021689	-	39
1021726	-	27
1021865	-	14
1023687	-	31
1024367	-	71
1025207	-	141
1025561	-	772
1025743	-	72
1026965	-	144
1027282	-	110
1029547	-	85
1029623	-	20
1030267	-	58
1030614	-	58
1031837	-	85
1032715	-	109
1033294	-	36
1033308	-	35
1034661	-	96
1034740	-	35
1034781	-	38
1038520	-	120
1040631	-	1335
1041168	-	1582
1043042	-	20
1043881	-	236
1044508	-	24
1046029	-	117
1046037	-	76
1046087	-	41
1046116	-	15
1051490	-	111
1052563	-	253
1052614	-	261
1053245	-	42
1055405	-	15
1056689	-	106
1058097	-	923
1059037	-	50
1059551	-	36
1061733	-	413
1063296	-	21
1063684	-	19
1064967	-	39
1065978	-	36
1066770	-	25
1066960	-	23
1067484	-	67
1067540	-	27
1067884	-	30
1068028	-	25
1068749	-	28
1068796	-	25
1069740	-	51
1071325	-	32
1073312	-	68
1074109	-	70
1074237	-	68
1074789	-	39
1075753	-	19
1075987	-	19
1077155	-	155
1077840	-	506
1080021	-	30
1082558	-	18
1085889	-	20
1087889	-	20
1090235	-	67
1092792	-	125
1093195	-	31
1094815	-	12
1097555	-	63
1097749	-	79
1097928	-	92
1099130	-	22
1099617	-	35
1101534	-	91
1101766	-	25
1101771	-	24
1103192	-	21
1104129	-	23
1106352	-	46
1106517	-	31
1106695	-	42
1107421	-	112
1108534	-	1385
1108553	-	241
1109175	-	132
1109458	-	29
1110522	-	35
1110989	-	26
1113583	-	56
1113869	-	44
1115212	-	344
1117131	-	318
1118753	-	37
1120005	-	139
1122165	-	70
1123512	-	134
1124289	-	193
1127010	-	93
1128057	-	103
1128069	-	14
1131270	-	14
1132148	-	31
1132186	-	46
1132450	-	35
1132932	-	38
1134705	-	1087
1135274	-	24
1136517	-	985
1137774	-	148
1138128	-	65
