sense_transcription_unit_start_site	sense_transcription_unit_end_site	sense_transcription_unit_direction	antisense_transcript_start_site	antisense_transcript_end_site	antisense_transcript_direction	antisense_transcript_end_location_information	antisense_transcript_length(WT_log)
366152	373788	-	369066	369532	+	end_in_gene	466
366152	373788	-	371509	371959	+	end_in_gene	450
424029	434763	-	427019	427300	+	end_in_gene	281
424029	434763	-	433203	433585	+	end_in_gene	382
445270	454373	-	454163	454476	+	end_as_asRNA_for_next_TU	313
515856	516899	-	516087	516529	+	end_in_gene	442
753656	755239	-	754793	755127	+	end_in_gene	334
823607	824698	-	823608	823986	+	end_in_gene	378
985543	987164	-	986529	986868	+	end_in_gene	339
1275965	1279622	-	1276035	1276792	+	end_in_gene	757
1533663	1535560	-	1535478	1536079	+	end_as_asRNA_for_next_TU	601
1929898	1931526	-	1930307	1930759	+	end_in_gene	452
1970721	1971998	-	1970903	1971303	+	end_in_gene	400
2162779	2171576	-	2164237	2164466	+	end_in_gene	229
2331424	2334602	-	2331529	2331939	+	end_in_gene	410
2368783	2370865	-	2369330	2369613	+	end_in_gene	283
2752680	2756757	-	2752753	2753080	+	end_in_gene	327
2784696	2792600	-	2788313	2788746	+	end_in_gene	433
2953407	2954763	-	2954443	2954760	+	end_coding_next_gene	317
2979340	2980859	-	2980545	2980834	+	end_in_gene	289
3032518	3034717	-	3033237	3033711	+	end_in_gene	474
3080529	3082351	-	3082231	3082780	+	end_as_asRNA_for_next_TU	549
3126499	3133589	-	3127712	3127950	+	end_in_gene	238
3318909	3324548	-	3323324	3323627	+	end_in_gene	303
3332068	3335758	-	3333944	3334207	+	end_in_gene	263
3376407	3385080	-	3381395	3381854	+	end_in_gene	459
3669398	3669946	-	3669588	3670077	+	end_in_gene	489
3847891	3849457	-	3847920	3848250	+	end_in_gene	330
4077919	4080963	-	4078048	4078345	+	end_in_gene	297
4117340	4118869	-	4118663	4119168	+	end_as_asRNA_for_next_TU	505
1639662	1640670	-	1640205	1640606	+	end_coding_next_gene	401
2089572	2096629	-	2091115	2091372	+	end_in_gene	257
2399811	2401735	-	2400672	2400910	+	end_in_gene	238
3126499	3133589	-	3130698	3131071	+	end_in_gene	373
3586840	3587535	-	3587255	3587535	+	end_coding_next_gene	280
4138326	4140645	-	4139928	4140559	+	end_as_asRNA_for_next_TU	631
46481	48141	-	47404	47754	+	end_in_gene	350
46481	48141	-	48121	48487	+	end_as_asRNA_for_next_TU	366
289792	292086	-	292057	292784	+	end_as_asRNA_for_next_TU	727
434773	436826	-	436820	437113	+	end_as_asRNA_for_next_TU	293
515856	516899	-	515885	516471	+	end_in_gene	586
1325702	1327518	-	1326133	1326478	+	end_in_gene	345
1519150	1526222	-	1524216	1524427	+	end_in_gene	211
1579596	1580428	-	1579639	1580139	+	end_in_gene	500
1698050	1699900	-	1699308	1699645	+	end_in_gene	337
1774723	1775315	-	1774812	1775315	+	end_coding_next_gene	503
2078719	2079813	-	2079328	2079708	+	end_in_gene	380
2148971	2150281	-	2149535	2149877	+	end_in_gene	342
2402095	2402727	-	2402282	2402944	+	end_as_asRNA_for_next_TU	662
2596850	2599912	-	2598508	2598792	+	end_in_gene	284
2756812	2759551	-	2757248	2757513	+	end_in_gene	265
2776304	2784089	-	2779147	2779471	+	end_in_gene	324
2819935	2821660	-	2821295	2821552	+	end_in_gene	257
2825504	2827099	-	2826626	2826876	+	end_in_gene	250
2870546	2876987	-	2874242	2874530	+	end_in_gene	288
2968852	2969634	-	2969450	2969982	+	end_as_asRNA_for_next_TU	532
3469275	3471373	-	3469925	3470175	+	end_in_gene	250
4269105	4273645	-	4271414	4272061	+	end_in_gene	647
4314911	4316774	-	4315670	4315963	+	end_in_gene	293
767333	769655	-	768997	769402	+	end_in_gene	405
1480848	1484226	-	1482764	1483355	+	end_in_gene	591
2062766	2064765	-	2063016	2063412	+	end_in_gene	396
2291943	2307203	-	2292339	2292778	+	end_in_gene	439
2572045	2573018	-	2572292	2572916	+	end_in_gene	624
2816998	2819925	-	2817047	2817314	+	end_in_gene	267
2849719	2850584	-	2850129	2850501	+	end_in_gene	372
3696649	3697402	-	3696697	3697149	+	end_in_gene	452
4029951	4030673	-	4030034	4030442	+	end_in_gene	408
4081540	4082900	-	4081548	4081884	+	end_in_gene	336
49037	51782	-	51622	52038	+	end_as_asRNA_for_next_TU	416
366152	373788	-	369692	370033	+	end_in_gene	341
366152	373788	-	373688	374061	+	end_as_asRNA_for_next_TU	373
392738	394045	-	393431	394045	+	end_coding_next_gene	614
1050360	1051490	-	1050610	1051041	+	end_in_gene	431
1219088	1220191	-	1219649	1220191	+	end_coding_next_gene	542
1253042	1254515	-	1253051	1253493	+	end_in_gene	442
1433546	1437143	-	1436132	1436496	+	end_in_gene	364
1445388	1446298	-	1445951	1446302	+	end_in_gene	351
1490426	1494482	-	1492453	1492676	+	end_in_gene	223
1689246	1690397	-	1690107	1690530	+	end_as_asRNA_for_next_TU	423
1977891	1979755	-	1978316	1978540	+	end_in_gene	224
2227938	2228574	-	2228060	2228396	+	end_in_gene	336
2346198	2347332	-	2346605	2346897	+	end_in_gene	292
2402095	2402727	-	2402654	2403030	+	end_as_asRNA_for_next_TU	376
2463160	2464844	-	2464369	2464743	+	end_in_gene	374
2627051	2630386	-	2627706	2627942	+	end_in_gene	236
2660339	2664812	-	2664443	2664785	+	end_in_gene	342
2720663	2725487	-	2724609	2724979	+	end_in_gene	370
2816998	2819925	-	2818104	2818366	+	end_in_gene	262
2816998	2819925	-	2818676	2819081	+	end_in_gene	405
3058581	3059215	-	3058883	3059200	+	end_in_gene	317
3863453	3868417	-	3866873	3867249	+	end_in_gene	376
3863453	3868417	-	3868057	3868389	+	end_in_gene	332
4100698	4107262	-	4105427	4105784	+	end_in_gene	357
4129282	4130535	-	4129661	4130172	+	end_in_gene	511
4202076	4205551	-	4205271	4206023	+	end_as_asRNA_for_next_TU	752
4266923	4269095	-	4267959	4268225	+	end_in_gene	266
4288213	4299793	-	4291831	4292089	+	end_in_gene	258
301693	302054	-	302037	302532	+	end_as_asRNA_for_next_TU	495
366152	373788	-	369723	370241	+	end_in_gene	518
532924	534400	-	533793	534112	+	end_in_gene	319
775587	778968	-	777656	778029	+	end_in_gene	373
989879	993021	-	990544	990797	+	end_in_gene	253
1148264	1151690	-	1148084	1148516	+	end_in_gene	432
1234371	1236100	-	1235329	1235751	+	end_in_gene	422
1268210	1269014	-	1268592	1268974	+	end_in_gene	382
1359460	1363367	-	1363110	1363495	+	end_as_asRNA_for_next_TU	385
1368731	1370813	-	1369071	1369404	+	end_in_gene	333
1840600	1842315	-	1841367	1842026	+	end_in_gene	659
2089572	2096629	-	2089661	2090063	+	end_in_gene	402
2110601	2111369	-	2110974	2111701	+	end_as_asRNA_for_next_TU	727
2130530	2135908	-	2131278	2131664	+	end_in_gene	386
2152901	2156599	-	2155990	2156481	+	end_in_gene	491
2233682	2237992	-	2235175	2235535	+	end_in_gene	360
2331424	2334602	-	2333664	2333968	+	end_in_gene	304
2370875	2372577	-	2371708	2372261	+	end_in_gene	553
2570073	2572035	-	2571351	2571703	+	end_in_gene	352
2581766	2582035	-	2581750	2582153	+	end_as_asRNA_for_next_TU	403
2601899	2603509	-	2602069	2602681	+	end_in_gene	612
2713990	2715342	-	2714452	2715089	+	end_in_gene	637
3076465	3078605	-	3078054	3078464	+	end_in_gene	410
3092783	3093835	-	3093797	3094176	+	end_as_asRNA_for_next_TU	379
3104966	3107674	-	3105831	3106154	+	end_in_gene	323
3126499	3133589	-	3131322	3131730	+	end_in_gene	408
3401921	3404979	-	3403922	3404623	+	end_in_gene	701
3465693	3467659	-	3466351	3466856	+	end_in_gene	505
3510062	3511384	-	3510235	3510747	+	end_in_gene	512
3627347	3632020	-	3628625	3628988	+	end_in_gene	363
3682094	3686010	-	3684809	3685246	+	end_in_gene	437
3790999	3799021	-	3793379	3793804	+	end_in_gene	425
3835388	3837638	-	3835541	3835936	+	end_in_gene	395
3911933	3919407	-	3917422	3917793	+	end_in_gene	371
4043133	4046358	-	4043273	4043591	+	end_in_gene	318
4084645	4087558	-	4087261	4087811	+	end_as_asRNA_for_next_TU	550
4146245	4149183	-	4146982	4147188	+	end_in_gene	206
4314911	4316774	-	4316235	4316593	+	end_in_gene	358
4405411	4411264	-	4405434	4405736	+	end_in_gene	302
4405411	4411264	-	4409651	4410288	+	end_in_gene	637
366152	373788	-	373089	373432	+	end_in_gene	343
1275965	1279622	-	1278014	1278414	+	end_in_gene	400
1985041	1989013	-	1985327	1986030	+	end_in_gene	703
4047685	4053113	-	4053045	4053726	+	end_as_asRNA_for_next_TU	681
4330145	4336446	-	4336373	4336954	+	end_as_asRNA_for_next_TU	581
125577	131125	-	126789	127159	+	end_in_gene	370
187437	188862	-	187509	187940	+	end_in_gene	431
3126499	3133589	-	3128299	3128696	+	end_in_gene	397
3385090	3388956	-	3386630	3387068	+	end_in_gene	438
3827148	3828942	-	3827618	3828139	+	end_in_gene	521
3901359	3903047	-	3902256	3903007	+	end_in_gene	751
4112517	4116123	-	4115348	4115826	+	end_in_gene	478
4330145	4336446	-	4332973	4333389	+	end_in_gene	416
847926	850076	-	848325	848719	+	end_in_gene	394
989879	993021	-	991211	991555	+	end_in_gene	344
2849719	2850584	-	2850150	2850512	+	end_in_gene	362
2851736	2852681	-	2851764	2852089	+	end_in_gene	325
3097665	3102172	-	3097992	3098447	+	end_in_gene	455
4189476	4190932	-	4190037	4190402	+	end_in_gene	365
678342	679123	-	678899	679123	+	end_coding_next_gene	224
359758	361200	-	360518	360942	+	end_in_gene	424
1225275	1228689	-	1225277	1225846	+	end_in_gene	569
1324544	1325692	-	1324544	1324931	+	end_in_gene	387
1653594	1655546	-	1655293	1655721	+	end_as_asRNA_for_next_TU	428
1933149	1933980	-	1933164	1933938	+	end_in_gene	774
2391207	2393325	-	2392103	2392469	+	end_in_gene	366
2409643	2415178	-	2411599	2411990	+	end_in_gene	391
2706756	2709966	-	2707187	2707549	+	end_in_gene	362
3401921	3404979	-	3403183	3403681	+	end_in_gene	498
3822182	3824026	-	3822213	3822538	+	end_in_gene	325
2221774	2224157	-	2223700	2224075	+	end_in_gene	375
392738	394045	-	393524	394045	+	end_coding_next_gene	521
2720663	2725487	-	2724741	2724947	+	end_in_gene	206
19042	23370	-	22892	23329	+	end_in_gene	437
87140	88001	-	87318	87714	+	end_in_gene	396
548258	549610	-	548364	548817	+	end_in_gene	453
876668	878431	-	877276	877813	+	end_in_gene	537
1512022	1512611	-	1512299	1512611	+	end_coding_next_gene	312
2894921	2897013	-	2895486	2895730	+	end_in_gene	244
3010706	3011842	-	3011058	3011449	+	end_in_gene	391
3790999	3799021	-	3794626	3795026	+	end_in_gene	400
3901359	3903047	-	3902477	3902987	+	end_in_gene	510
4284519	4286042	-	4285385	4285910	+	end_in_gene	525
177211	183208	-	180463	181027	+	end_in_gene	564
665410	668458	-	668332	668689	+	end_as_asRNA_for_next_TU	357
736238	737259	-	737094	737354	+	end_as_asRNA_for_next_TU	260
1160448	1164841	-	1163820	1164314	+	end_in_gene	494
1480848	1484226	-	1482348	1482758	+	end_in_gene	410
2221774	2224157	-	2223767	2224037	+	end_in_gene	270
2489159	2492355	-	2490923	2491307	+	end_in_gene	384
2816998	2819925	-	2818692	2819063	+	end_in_gene	371
3083390	3086193	-	3085911	3086292	+	end_as_asRNA_for_next_TU	381
3686020	3689480	-	3688984	3689252	+	end_in_gene	268
3814273	3816286	-	3815716	3816151	+	end_in_gene	435
2089572	2096629	-	2091759	2092386	+	end_in_gene	627
1848457	1852042	-	1849449	1849663	+	end_in_gene	214
11257	12366	-	11217	11598	+	end_in_gene	381
177211	183208	-	178878	179541	+	end_in_gene	663
219925	221721	-	221242	221600	+	end_in_gene	358
274914	275963	-	275193	275626	+	end_in_gene	433
403145	405887	-	405467	405841	+	end_in_gene	374
560761	561790	-	560863	561214	+	end_in_gene	351
633047	635927	-	634582	634970	+	end_in_gene	388
899800	901374	-	899905	900602	+	end_in_gene	697
913515	914202	-	913646	914306	+	end_as_asRNA_for_next_TU	660
958463	960340	-	959029	959715	+	end_in_gene	686
1306073	1308797	-	1307916	1308359	+	end_in_gene	443
1393158	1393988	-	1393776	1393988	+	end_coding_next_gene	212
1402825	1406090	-	1403250	1403717	+	end_in_gene	467
1415866	1417405	-	1417403	1417992	+	end_as_asRNA_for_next_TU	589
1533663	1535560	-	1534448	1534867	+	end_in_gene	419
1623704	1628905	-	1624179	1624848	+	end_in_gene	669
1694894	1697428	-	1694308	1694678	+	end_in_gene	370
1825945	1826583	-	1825962	1826386	+	end_in_gene	424
1898248	1900982	-	1898333	1898714	+	end_in_gene	381
2089572	2096629	-	2092224	2092565	+	end_in_gene	341
2103104	2104114	-	2103280	2103642	+	end_in_gene	362
2111379	2113027	-	2112257	2112708	+	end_in_gene	451
2130530	2135908	-	2133424	2133895	+	end_in_gene	471
2146851	2147640	-	2146961	2147360	+	end_in_gene	399
2152901	2156599	-	2154546	2154905	+	end_in_gene	359
2233682	2237992	-	2236195	2236576	+	end_in_gene	381
2248460	2251915	-	2251245	2251717	+	end_in_gene	472
2258689	2259308	-	2258996	2259298	+	end_in_gene	302
2283730	2289254	-	2287894	2288319	+	end_in_gene	425
2510560	2511659	-	2511554	2511831	+	end_as_asRNA_for_next_TU	277
2541410	2544631	-	2541711	2542076	+	end_in_gene	365
2594962	2596279	-	2594967	2595383	+	end_in_gene	416
2613100	2614113	-	2613092	2613333	+	end_in_gene	241
2752680	2756757	-	2753869	2754250	+	end_in_gene	381
2979340	2980859	-	2979414	2979824	+	end_in_gene	410
3070834	3074182	-	3073296	3073642	+	end_in_gene	346
3126499	3133589	-	3129395	3129980	+	end_in_gene	585
3155891	3162101	-	3157410	3157659	+	end_in_gene	249
3204310	3212224	-	3209493	3210176	+	end_in_gene	683
3241155	3242005	-	3241765	3242005	+	end_coding_next_gene	240
3293683	3302584	-	3299413	3299794	+	end_in_gene	381
3310505	3313079	-	3312032	3312312	+	end_in_gene	280
3597826	3599678	-	3599039	3599578	+	end_in_gene	539
3613610	3617553	-	3614601	3615077	+	end_in_gene	476
3832326	3833845	-	3833614	3833917	+	end_as_asRNA_for_next_TU	303
3835388	3837638	-	3836801	3837161	+	end_in_gene	360
3888374	3889520	-	3888708	3889150	+	end_in_gene	442
3936899	3939439	-	3938146	3938486	+	end_in_gene	340
4021572	4025740	-	4023044	4023423	+	end_in_gene	379
4077919	4080963	-	4079604	4080279	+	end_in_gene	675
4278273	4281749	-	4280078	4280390	+	end_in_gene	312
4288213	4299793	-	4292423	4292772	+	end_in_gene	349
4288213	4299793	-	4294785	4295169	+	end_in_gene	384
4376202	4383107	-	4378639	4378942	+	end_in_gene	303
1	1618	+	884	1267	-	end_in_gene	383
5183	11258	+	7777	8207	-	end_in_gene	430
29245	31073	+	29678	30183	-	end_in_gene	505
31078	32047	+	31591	31967	-	end_in_gene	376
32057	33217	+	32701	33047	-	end_in_gene	346
33940	35706	+	33495	34152	-	end_as_asRNA_for_next_TU	657
33227	33891	+	33489	33792	-	end_in_gene	303
35716	39046	+	37502	37934	-	end_in_gene	432
43562	46569	+	45311	45647	-	end_in_gene	336
43562	46569	+	46056	46423	-	end_in_gene	367
60282	63891	+	63202	63562	-	end_in_gene	360
79483	80232	+	79990	80416	-	end_in_gene	426
80621	83992	+	81992	82346	-	end_in_gene	354
92203	99614	+	96158	96631	-	end_in_gene	473
105321	117701	+	110216	110560	-	end_in_gene	344
105321	117701	+	111755	112259	-	end_in_gene	504
105321	117701	+	112616	112892	-	end_in_gene	276
122314	123967	+	122670	123228	-	end_in_gene	558
133843	136136	+	135175	135466	-	end_in_gene	291
136141	139700	+	137391	137691	-	end_in_gene	300
148489	151068	+	149140	149535	-	end_in_gene	395
151073	154693	+	150848	151127	-	end_as_asRNA_for_next_TU	279
151073	154693	+	153661	154064	-	end_in_gene	403
154703	156566	+	155456	155851	-	end_in_gene	395
193115	193659	+	193115	193356	-	end_coding_next_gene	241
194916	196681	+	195433	195879	-	end_in_gene	446
196733	206637	+	196472	197082	-	end_as_asRNA_for_next_TU	610
196733	206637	+	199153	199503	-	end_in_gene	350
196733	206637	+	200565	201025	-	end_in_gene	460
196733	206637	+	201311	201673	-	end_in_gene	362
196733	206637	+	202427	202927	-	end_in_gene	500
196733	206637	+	206034	206608	-	end_in_gene	574
208326	209691	+	209133	209440	-	end_in_gene	307
226876	234502	+	230810	231273	-	end_in_gene	463
276025	277871	+	277061	277453	-	end_in_gene	392
277876	279591	+	278237	278754	-	end_in_gene	517
292134	293720	+	292136	292386	-	end_coding_next_gene	250
339322	340988	+	339705	340043	-	end_in_gene	338
340998	341949	+	341613	342006	-	end_in_gene	393
342104	356852	+	345581	345941	-	end_in_gene	360
358171	358935	+	358537	358875	-	end_in_gene	338
377113	377921	+	377113	377875	-	end_coding_next_gene	762
383608	385163	+	384398	384877	-	end_in_gene	479
409311	414371	+	410477	410954	-	end_in_gene	477
417304	418244	+	417304	417614	-	end_coding_next_gene	310
419779	424134	+	419347	419783	-	end_as_asRNA_for_next_TU	436
419779	424134	+	419788	420159	-	end_in_gene	371
419779	424134	+	420647	420927	-	end_in_gene	280
438791	441256	+	439376	439789	-	end_in_gene	413
463395	466663	+	464660	465032	-	end_in_gene	372
469594	471220	+	470572	470921	-	end_in_gene	349
490786	495055	+	491326	491817	-	end_in_gene	491
503498	505049	+	504522	504854	-	end_in_gene	332
519603	522340	+	519829	520530	-	end_in_gene	701
551713	552607	+	551745	552212	-	end_as_asRNA_for_next_TU	467
552617	554306	+	552928	553523	-	end_in_gene	595
557439	559859	+	558178	558552	-	end_in_gene	374
557439	559859	+	559318	559751	-	end_in_gene	433
570542	571745	+	570542	570814	-	end_coding_next_gene	272
573840	575350	+	573874	574282	-	end_coding_next_gene	408
587104	590088	+	587415	587761	-	end_in_gene	346
591450	592707	+	591893	592282	-	end_in_gene	389
610125	611165	+	610758	611072	-	end_in_gene	314
612911	614319	+	613586	614013	-	end_in_gene	427
614838	619744	+	615892	616267	-	end_in_gene	375
629938	633048	+	631573	631943	-	end_in_gene	370
660987	663449	+	661786	662186	-	end_in_gene	400
669840	671989	+	669843	670142	-	end_coding_next_gene	299
679232	681878	+	679233	679660	-	end_coding_next_gene	427
679232	681878	+	680174	680496	-	end_in_gene	322
679232	681878	+	680567	681051	-	end_in_gene	484
684413	685929	+	685452	685915	-	end_in_gene	463
685939	694832	+	690950	691362	-	end_in_gene	412
685939	694832	+	691951	692260	-	end_in_gene	309
685939	694832	+	692240	692510	-	end_in_gene	270
685939	694832	+	693937	694385	-	end_in_gene	448
700180	701423	+	700719	701339	-	end_in_gene	620
756118	759478	+	758347	758639	-	end_in_gene	292
798676	800201	+	798742	799224	-	end_in_gene	482
800206	806232	+	803318	803703	-	end_in_gene	385
800206	806232	+	805254	805646	-	end_in_gene	392
806304	809893	+	807334	807833	-	end_in_gene	499
811231	817532	+	816139	816471	-	end_in_gene	332
851551	853818	+	852301	852691	-	end_in_gene	390
860872	864579	+	864074	864381	-	end_in_gene	307
870000	872665	+	871733	872105	-	end_in_gene	372
873346	874177	+	873738	874167	-	end_in_gene	429
881462	882452	+	881985	882390	-	end_in_gene	405
889075	890307	+	889525	890013	-	end_in_gene	488
890317	891465	+	890626	891002	-	end_in_gene	376
903727	904898	+	903860	904210	-	end_as_asRNA_for_next_TU	350
930547	931912	+	931691	932177	-	end_in_gene	486
937596	940449	+	939555	939943	-	end_in_gene	388
944331	947634	+	946376	946695	-	end_in_gene	319
951186	952767	+	952341	952632	-	end_in_gene	291
982728	985506	+	983261	983654	-	end_in_gene	393
987057	988733	+	987741	988279	-	end_in_gene	538
993804	995311	+	994601	995126	-	end_in_gene	525
996527	999422	+	996773	997353	-	end_in_gene	580
996527	999422	+	997432	997713	-	end_in_gene	281
996527	999422	+	998864	999337	-	end_in_gene	473
1008210	1014383	+	1014241	1014639	-	end_in_gene	398
1014646	1016904	+	1016235	1016508	-	end_in_gene	273
1041268	1045193	+	1043489	1043881	-	end_in_gene	392
1058261	1060650	+	1058724	1059037	-	end_in_gene	313
1058261	1060650	+	1059249	1059551	-	end_in_gene	302
1065082	1067555	+	1067173	1067484	-	end_in_gene	311
1067565	1069879	+	1068282	1068749	-	end_in_gene	467
1074084	1074434	+	1073726	1074237	-	end_as_asRNA_for_next_TU	511
1090332	1093355	+	1092318	1092792	-	end_in_gene	474
1097365	1101019	+	1097216	1097928	-	end_as_asRNA_for_next_TU	712
1114738	1116525	+	1114906	1115212	-	end_in_gene	306
1123595	1125438	+	1123841	1124289	-	end_in_gene	448
1144509	1148421	+	1147925	1148259	-	end_in_gene	334
1151730	1156420	+	1153050	1153411	-	end_in_gene	361
1151730	1156420	+	1153421	1153724	-	end_in_gene	303
1177211	1178617	+	1177682	1178126	-	end_in_gene	444
1203272	1205299	+	1202831	1203277	-	end_as_asRNA_for_next_TU	446
1203272	1205299	+	1203980	1204356	-	end_in_gene	376
1206496	1209751	+	1207671	1208107	-	end_in_gene	436
1211522	1215194	+	1213915	1214237	-	end_in_gene	322
1231306	1232839	+	1232003	1232319	-	end_in_gene	316
1261214	1262267	+	1261272	1261713	-	end_in_gene	441
1274160	1276295	+	1274470	1274820	-	end_in_gene	350
1274160	1276295	+	1275483	1275997	-	end_in_gene	514
1287129	1296136	+	1291842	1292100	-	end_in_gene	258
1300168	1301226	+	1300685	1301099	-	end_in_gene	414
1302860	1305664	+	1303380	1303746	-	end_in_gene	366
1316324	1321293	+	1316355	1316692	-	end_as_asRNA_for_next_TU	337
1316324	1321293	+	1320795	1321269	-	end_in_gene	474
1333937	1334935	+	1333532	1334104	-	end_as_asRNA_for_next_TU	572
1342605	1344212	+	1342621	1342985	-	end_coding_next_gene	364
1348725	1351187	+	1348742	1348987	-	end_in_gene	245
1353163	1354194	+	1353746	1354069	-	end_in_gene	323
1355842	1357127	+	1355847	1356188	-	end_coding_next_gene	341
1370926	1371768	+	1370941	1371231	-	end_coding_next_gene	290
1370926	1371768	+	1371197	1371699	-	end_in_gene	502
1376981	1380630	+	1379955	1380398	-	end_in_gene	443
1380640	1381938	+	1380723	1381145	-	end_in_gene	422
1394096	1395817	+	1394152	1394567	-	end_in_gene	415
1394096	1395817	+	1394627	1395009	-	end_in_gene	382
1399973	1402774	+	1400104	1400395	-	end_coding_next_gene	291
1411900	1413956	+	1412916	1413230	-	end_in_gene	314
1426170	1431661	+	1430574	1430906	-	end_in_gene	332
1437920	1440517	+	1438218	1438745	-	end_in_gene	527
1437920	1440517	+	1438933	1439231	-	end_in_gene	298
1437920	1440517	+	1439601	1440079	-	end_in_gene	478
1453013	1455069	+	1454124	1454523	-	end_in_gene	399
1485797	1487157	+	1486581	1486922	-	end_in_gene	341
1500667	1504876	+	1500987	1501517	-	end_in_gene	530
1500667	1504876	+	1502561	1502923	-	end_in_gene	362
1500667	1504876	+	1502930	1503397	-	end_in_gene	467
1512870	1517487	+	1514588	1515252	-	end_in_gene	664
1512870	1517487	+	1517069	1517478	-	end_in_gene	409
1518198	1518729	+	1517872	1518246	-	end_as_asRNA_for_next_TU	374
1526618	1531344	+	1530249	1530765	-	end_in_gene	516
1545738	1547068	+	1545287	1545868	-	end_as_asRNA_for_next_TU	581
1548431	1550575	+	1548429	1548774	-	end_as_asRNA_for_next_TU	345
1561411	1563880	+	1561083	1561631	-	end_as_asRNA_for_next_TU	548
1593508	1597771	+	1593708	1594194	-	end_in_gene	486
1593508	1597771	+	1596659	1597165	-	end_in_gene	506
1606369	1608051	+	1607423	1607887	-	end_in_gene	464
1659817	1660473	+	1659771	1660092	-	end_as_asRNA_for_next_TU	321
1666926	1669215	+	1667638	1667996	-	end_in_gene	358
1678558	1681124	+	1678276	1678652	-	end_as_asRNA_for_next_TU	376
1678558	1681124	+	1680673	1680925	-	end_in_gene	252
1690820	1692642	+	1690383	1690861	-	end_as_asRNA_for_next_TU	478
1690413	1690815	+	1690418	1690815	-	end_coding_next_gene	397
1692652	1693987	+	1693864	1694340	-	end_in_gene	476
1697362	1697985	+	1697383	1697816	-	end_coding_next_gene	433
1697362	1697985	+	1697840	1698045	-	end_in_gene	205
1699814	1703022	+	1702462	1702945	-	end_in_gene	483
1710712	1712185	+	1710686	1711161	-	end_as_asRNA_for_next_TU	475
1736296	1741208	+	1738249	1738679	-	end_in_gene	430
1745024	1747191	+	1745640	1746200	-	end_in_gene	560
1747698	1751293	+	1749532	1749892	-	end_in_gene	360
1753516	1757401	+	1753516	1753721	-	end_coding_next_gene	205
1763434	1764766	+	1763238	1763622	-	end_as_asRNA_for_next_TU	384
1799572	1807295	+	1802062	1802561	-	end_in_gene	499
1799572	1807295	+	1803061	1803284	-	end_in_gene	223
1799572	1807295	+	1803760	1804152	-	end_in_gene	392
1810192	1814769	+	1812941	1813273	-	end_in_gene	332
1830672	1833495	+	1830672	1830909	-	end_coding_next_gene	237
1833500	1836384	+	1833196	1833537	-	end_as_asRNA_for_next_TU	341
1833500	1836384	+	1835723	1836095	-	end_in_gene	372
1837019	1840569	+	1837066	1837411	-	end_in_gene	345
1837019	1840569	+	1837642	1838019	-	end_in_gene	377
1858600	1862344	+	1858859	1859366	-	end_in_gene	507
1865598	1871291	+	1870063	1870517	-	end_in_gene	454
1874110	1886273	+	1874757	1875277	-	end_in_gene	520
1887564	1891194	+	1887501	1888173	-	end_as_asRNA_for_next_TU	672
1906326	1907450	+	1905940	1906544	-	end_as_asRNA_for_next_TU	604
1907585	1910285	+	1908944	1909241	-	end_in_gene	297
1923753	1927208	+	1924987	1925531	-	end_in_gene	544
1937189	1938065	+	1937651	1938035	-	end_in_gene	384
1938075	1945360	+	1942731	1943065	-	end_in_gene	334
1951859	1953861	+	1952656	1953133	-	end_in_gene	477
1957645	1959240	+	1957645	1958023	-	end_coding_next_gene	378
1972145	1973632	+	1972145	1972426	-	end_coding_next_gene	281
1973642	1977325	+	1975054	1975596	-	end_in_gene	542
1993160	1994668	+	1993160	1993447	-	end_coding_next_gene	287
1996159	1997415	+	1996566	1997097	-	end_in_gene	531
2014704	2015299	+	2014850	2015240	-	end_in_gene	390
2024781	2026744	+	2026257	2026710	-	end_in_gene	453
2039121	2041737	+	2039614	2039880	-	end_in_gene	266
2039121	2041737	+	2040080	2040561	-	end_in_gene	481
2042031	2044920	+	2044206	2044753	-	end_in_gene	547
2048079	2049892	+	2048621	2048912	-	end_in_gene	291
2049902	2052963	+	2050326	2050822	-	end_in_gene	496
2057462	2061156	+	2057270	2057751	-	end_as_asRNA_for_next_TU	481
2057462	2061156	+	2058295	2058721	-	end_in_gene	426
2064806	2069077	+	2066298	2066663	-	end_in_gene	365
2064806	2069077	+	2067315	2067736	-	end_in_gene	421
2074813	2075606	+	2074536	2075028	-	end_as_asRNA_for_next_TU	492
2075616	2078926	+	2077518	2077941	-	end_in_gene	423
2079837	2080698	+	2080205	2080657	-	end_in_gene	452
2096767	2101648	+	2096779	2097129	-	end_coding_next_gene	350
2104910	2107320	+	2105016	2105618	-	end_in_gene	602
2104910	2107320	+	2106303	2106697	-	end_in_gene	394
2123673	2124202	+	2123439	2123906	-	end_as_asRNA_for_next_TU	467
2127537	2130538	+	2127759	2128217	-	end_in_gene	458
2127537	2130538	+	2128389	2128711	-	end_in_gene	322
2127537	2130538	+	2129820	2130229	-	end_in_gene	409
2147675	2149003	+	2148002	2148405	-	end_in_gene	403
2160434	2162929	+	2160618	2161207	-	end_in_gene	589
2187330	2193614	+	2189875	2190270	-	end_in_gene	395
2201284	2203015	+	2202436	2202955	-	end_in_gene	519
2204219	2204863	+	2204383	2204783	-	end_in_gene	400
2207622	2218822	+	2212932	2213343	-	end_in_gene	411
2207622	2218822	+	2217904	2218412	-	end_in_gene	508
